EPOCH,BATCH,PheCodePheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,LOINCLOINC,N,LOINCPheCode,N,CCSPheCode,N,PheCodeRXNORM,N
0,0,0.6816466950000001,13316.0,0.6347821814060663,978.0,0.7564614080926488,238.0,0.8466666666666668,30.0,0.56,20.0,,0.0,,0.0
1,0,0.9122681300000001,13316.0,0.9019753597551029,978.0,0.9769966810253513,238.0,0.8766666666666667,30.0,0.8374999999999999,20.0,,0.0,,0.0
1,1,0.9098555950000001,13316.0,0.8768839834226186,978.0,0.9757962008332745,238.0,0.8788888888888889,30.0,0.935,20.0,,0.0,,0.0
1,2,0.9065745,13316.0,0.8999146875431265,978.0,0.9700233034390227,238.0,0.8655555555555556,30.0,0.8750000000000001,20.0,,0.0,,0.0
1,3,0.9089023150000001,13316.0,0.8901795534478361,978.0,0.9701468822823246,238.0,0.8044444444444445,30.0,0.8975000000000001,20.0,,0.0,,0.0
1,4,0.909960695,13316.0,0.8903541512456037,978.0,0.9656803898029801,238.0,0.9011111111111112,30.0,0.9125,20.0,,0.0,,0.0
1,5,0.910494825,13316.0,0.8945763860137754,978.0,0.9760080502789351,238.0,0.8355555555555556,30.0,0.8975000000000001,20.0,,0.0,,0.0
1,6,0.9138111699999999,13316.0,0.8895898938194471,978.0,0.9770319892662948,238.0,0.9199999999999999,30.0,0.8849999999999999,20.0,,0.0,,0.0
1,7,0.90767683,13316.0,0.8920943789964075,978.0,0.9834933973589436,238.0,0.8966666666666667,30.0,0.8775,20.0,,0.0,,0.0
1,8,0.9129506800000001,13316.0,0.8925460331798546,978.0,0.9781265447355413,238.0,0.87,30.0,0.875,20.0,,0.0,,0.0
1,9,0.9062798299999999,13316.0,0.8845845827008084,978.0,0.9724948803050631,238.0,0.8644444444444445,30.0,0.9025,20.0,,0.0,,0.0
1,10,0.9057945049999998,13316.0,0.8940280234692898,978.0,0.980774662806299,238.0,0.9044444444444444,30.0,0.865,20.0,,0.0,,0.0
1,11,0.9084205000000001,13316.0,0.8870545665165336,978.0,0.9765906362545018,238.0,0.8400000000000001,30.0,0.905,20.0,,0.0,,0.0
1,12,0.907065195,13316.0,0.8886860627046558,978.0,0.9812866322999787,238.0,0.9066666666666667,30.0,0.9099999999999999,20.0,,0.0,,0.0
1,13,0.90875563,13316.0,0.9007416747169843,978.0,0.9735541275333662,238.0,0.8966666666666667,30.0,0.9075000000000001,20.0,,0.0,,0.0
1,14,0.908939075,13316.0,0.8978665612806904,978.0,0.9648859543817526,238.0,0.9155555555555555,30.0,0.96,20.0,,0.0,,0.0
1,15,0.9107644749999999,13316.0,0.9054589517440961,978.0,0.9759197796765764,238.0,0.8566666666666667,30.0,0.9,20.0,,0.0,,0.0
1,16,0.9124541150000001,13316.0,0.9026998883410491,978.0,0.9762905162064828,238.0,0.8688888888888889,30.0,0.88,20.0,,0.0,,0.0
1,17,0.906475425,13316.0,0.895433169817791,978.0,0.9733952404491208,238.0,0.8633333333333333,30.0,0.8949999999999999,20.0,,0.0,,0.0
1,18,0.9066304849999999,13316.0,0.8944143341655479,978.0,0.9736423981357248,238.0,0.8844444444444445,30.0,0.875,20.0,,0.0,,0.0
1,19,0.90965313,13316.0,0.8885281928396085,978.0,0.9775439587599747,238.0,0.8444444444444444,30.0,0.89,20.0,,0.0,,0.0
1,20,0.9086725849999999,13316.0,0.9008253143805856,978.0,0.9738365934609138,238.0,0.8822222222222222,30.0,0.91,20.0,,0.0,,0.0
1,21,0.9085044400000002,13316.0,0.8902260780107142,978.0,0.9694583715839277,238.0,0.8777777777777778,30.0,0.875,20.0,,0.0,,0.0
1,22,0.90761637,13316.0,0.9076565839052196,978.0,0.9794152955299766,238.0,0.8744444444444445,30.0,0.89,20.0,,0.0,,0.0
1,23,0.91107063,13316.0,0.8984300835142042,978.0,0.9696702210295881,238.0,0.8866666666666667,30.0,0.88,20.0,,0.0,,0.0
1,24,0.9076716200000001,13316.0,0.8909986994032311,978.0,0.9784796271449757,238.0,0.8055555555555556,30.0,0.9650000000000001,20.0,,0.0,,0.0
1,25,0.9061963199999998,13316.0,0.9017814202851275,978.0,0.9705176188122309,238.0,0.85,30.0,0.8575,20.0,,0.0,,0.0
1,26,0.9115282949999999,13316.0,0.8853707955386603,978.0,0.972830308594026,238.0,0.8977777777777778,30.0,0.8875,20.0,,0.0,,0.0
1,27,0.9080293500000002,13316.0,0.8964645514195742,978.0,0.9793093708071463,238.0,0.8933333333333333,30.0,0.8450000000000001,20.0,,0.0,,0.0
1,28,0.906792415,13316.0,0.9039011630095224,978.0,0.9769260645434644,238.0,0.9,30.0,0.94,20.0,,0.0,,0.0
1,29,0.9066745850000001,13316.0,0.8911617967472535,978.0,0.9729538874373278,238.0,0.8766666666666667,30.0,0.9,20.0,,0.0,,0.0
1,30,0.9093287,13316.0,0.8951608181631895,978.0,0.9750723818939341,238.0,0.8555555555555556,30.0,0.9125,20.0,,0.0,,0.0
1,31,0.9077050500000001,13316.0,0.8974661363911994,978.0,0.9741014052679895,238.0,0.88,30.0,0.87,20.0,,0.0,,0.0
1,32,0.905576605,13316.0,0.9065169934886521,978.0,0.9799096109031847,238.0,0.8377777777777778,30.0,0.8825000000000001,20.0,,0.0,,0.0
1,33,0.9056158449999999,13316.0,0.8903703564304264,978.0,0.9783913565426171,238.0,0.9,30.0,0.8674999999999999,20.0,,0.0,,0.0
1,34,0.907168375,13316.0,0.901104461757855,978.0,0.9781088906150697,238.0,0.8377777777777778,30.0,0.8649999999999999,20.0,,0.0,,0.0
1,35,0.9069053650000001,13316.0,0.9011290309090376,978.0,0.976449403290728,238.0,0.8433333333333334,30.0,0.86,20.0,,0.0,,0.0
1,36,0.9063589900000001,13316.0,0.8804951258986036,978.0,0.9808805875291293,238.0,0.8288888888888888,30.0,0.8200000000000001,20.0,,0.0,,0.0
1,37,0.9073461450000001,13316.0,0.9036167881532782,978.0,0.9795565284937504,238.0,0.9111111111111111,30.0,0.88,20.0,,0.0,,0.0
1,38,0.905684735,13316.0,0.8961833130507149,978.0,0.9776145752418616,238.0,0.9422222222222223,30.0,0.935,20.0,,0.0,,0.0
1,39,0.9034694050000001,13316.0,0.8972539007448113,978.0,0.9797330696984677,238.0,0.8666666666666666,30.0,0.89,20.0,,0.0,,0.0
1,40,0.9068997599999999,13316.0,0.8869641311302646,978.0,0.9802980015535626,238.0,0.8633333333333333,30.0,0.9300000000000002,20.0,,0.0,,0.0
1,41,0.9074278499999999,13316.0,0.901381518143534,978.0,0.9786914765906363,238.0,0.8866666666666667,30.0,0.9525,20.0,,0.0,,0.0
1,42,0.904071635,13316.0,0.8872965987930795,978.0,0.9815337899865829,238.0,0.7777777777777778,30.0,0.9025,20.0,,0.0,,0.0
1,43,0.90602801,13316.0,0.8963495468821225,978.0,0.9757608925923311,238.0,0.91,30.0,0.8475,20.0,,0.0,,0.0
1,44,0.90621459,13316.0,0.896380911755973,978.0,0.9725654967869501,238.0,0.9366666666666666,30.0,0.8500000000000001,20.0,,0.0,,0.0
1,45,0.9038585250000001,13316.0,0.8938508119320343,978.0,0.9797507238189394,238.0,0.9066666666666666,30.0,0.87,20.0,,0.0,,0.0
1,46,0.905203465,13316.0,0.8944446535436034,978.0,0.9767318692182755,238.0,0.8988888888888888,30.0,0.8775,20.0,,0.0,,0.0
1,47,0.9033058100000001,13316.0,0.8954953768175943,978.0,0.9824518042511122,238.0,0.9133333333333333,30.0,0.875,20.0,,0.0,,0.0
1,48,0.9040033,13316.0,0.8974969785171524,978.0,0.9766612527363886,238.0,0.9022222222222223,30.0,0.905,20.0,,0.0,,0.0
1,49,0.9060706099999999,13316.0,0.8975612765085459,978.0,0.9734835110514795,238.0,0.8644444444444445,30.0,0.8274999999999999,20.0,,0.0,,0.0
1,50,0.9054860100000001,13316.0,0.8991274292094797,978.0,0.9806157757220535,238.0,0.8833333333333333,30.0,0.9099999999999999,20.0,,0.0,,0.0
1,51,0.9032485950000001,13316.0,0.9042493131092627,978.0,0.9744897959183674,238.0,0.8844444444444444,30.0,0.9149999999999999,20.0,,0.0,,0.0
1,52,0.9031347750000001,13316.0,0.9048013348890311,978.0,0.9807393545653555,238.0,0.8566666666666667,30.0,0.8875,20.0,,0.0,,0.0
1,53,0.9087674849999998,13316.0,0.9021144106958401,978.0,0.9767142150978039,238.0,0.8922222222222222,30.0,0.8875,20.0,,0.0,,0.0
1,54,0.905285405,13316.0,0.8919333726439751,978.0,0.9809335498905445,238.0,0.8044444444444444,30.0,0.885,20.0,,0.0,,0.0
1,55,0.9044846000000001,13316.0,0.9022827355188378,978.0,0.9760963208812936,238.0,0.8666666666666667,30.0,0.8675,20.0,,0.0,,0.0
1,56,0.9052991149999999,13316.0,0.9051207338544085,978.0,0.9781971612174283,238.0,0.9011111111111111,30.0,0.9075,20.0,,0.0,,0.0
1,57,0.905220685,13316.0,0.9025587464087219,978.0,0.978514935385919,238.0,0.8366666666666667,30.0,0.8775,20.0,,0.0,,0.0
1,58,0.905316675,13316.0,0.8947729392232384,978.0,0.9814984817456394,238.0,0.8866666666666667,30.0,0.8799999999999999,20.0,,0.0,,0.0
1,59,0.906031665,13316.0,0.9010375500269738,978.0,0.9825047666125274,238.0,0.9166666666666666,30.0,0.9025,20.0,,0.0,,0.0
1,60,0.90774009,13316.0,0.9073366621919446,978.0,0.9799625732646,238.0,0.9388888888888889,30.0,0.8825000000000001,20.0,,0.0,,0.0
1,61,0.907221555,13316.0,0.8977170553820032,978.0,0.9805451592401666,238.0,0.9355555555555555,30.0,0.8725,20.0,,0.0,,0.0
1,62,0.903170295,13316.0,0.892310796625976,978.0,0.9780206200127108,238.0,0.91,30.0,0.92,20.0,,0.0,,0.0
2,0,0.9076837600000001,13316.0,0.8967593812337686,978.0,0.9761139750017654,238.0,0.9233333333333333,30.0,0.8825,20.0,,0.0,,0.0
2,1,0.9050681450000001,13316.0,0.901832126831186,978.0,0.9756020055080856,238.0,0.8822222222222222,30.0,0.9349999999999999,20.0,,0.0,,0.0
2,2,0.9045126800000001,13316.0,0.8950468591215327,978.0,0.9825753830944144,238.0,0.89,30.0,0.9075,20.0,,0.0,,0.0
2,3,0.904361215,13316.0,0.8996209032247271,978.0,0.9791151754819575,238.0,0.9033333333333334,30.0,0.9225,20.0,,0.0,,0.0
2,4,0.9027694150000001,13316.0,0.8958832557575455,978.0,0.9768377939411058,238.0,0.9155555555555557,30.0,0.8775,20.0,,0.0,,0.0
2,5,0.9032989399999999,13316.0,0.8991567030917402,978.0,0.9769260645434644,238.0,0.8766666666666667,30.0,0.7999999999999999,20.0,,0.0,,0.0
2,6,0.9043068799999999,13316.0,0.9058719225831274,978.0,0.9821163759621494,238.0,0.8866666666666667,30.0,0.915,20.0,,0.0,,0.0
2,7,0.903349485,13316.0,0.8989246030252466,978.0,0.9777204999646918,238.0,0.8933333333333333,30.0,0.845,20.0,,0.0,,0.0
2,8,0.902833105,13316.0,0.8945000648207392,978.0,0.9764317491702563,238.0,0.8022222222222223,30.0,0.865,20.0,,0.0,,0.0
2,9,0.9056935749999999,13316.0,0.9009455463970123,978.0,0.9761492832427089,238.0,0.9011111111111111,30.0,0.845,20.0,,0.0,,0.0
2,10,0.9054147349999999,13316.0,0.8970333011320628,978.0,0.9796801073370525,238.0,0.8955555555555555,30.0,0.8500000000000001,20.0,,0.0,,0.0
2,11,0.90410827,13316.0,0.900927772968497,978.0,0.9853117717675306,238.0,0.8555555555555556,30.0,0.8825000000000001,20.0,,0.0,,0.0
2,12,0.9030949,13316.0,0.8964687334027542,978.0,0.9829814278652638,238.0,0.9088888888888889,30.0,0.9149999999999999,20.0,,0.0,,0.0
2,13,0.9056752050000001,13316.0,0.9014254289669247,978.0,0.9801038062283737,238.0,0.9199999999999999,30.0,0.77,20.0,,0.0,,0.0
2,14,0.9056377200000001,13316.0,0.89980491048465,978.0,0.9778264246875222,238.0,0.9211111111111111,30.0,0.8825000000000001,20.0,,0.0,,0.0
2,15,0.9061352149999999,13316.0,0.8951409537430841,978.0,0.9848880728762093,238.0,0.9066666666666666,30.0,0.8300000000000001,20.0,,0.0,,0.0
2,16,0.9032421250000001,13316.0,0.9070731972516006,978.0,0.9825047666125274,238.0,0.8877777777777778,30.0,0.82,20.0,,0.0,,0.0
2,17,0.904389045,13316.0,0.8966454221921119,978.0,0.97883270955441,238.0,0.8688888888888889,30.0,0.88,20.0,,0.0,,0.0
2,18,0.9073529450000001,13316.0,0.9024061040226496,978.0,0.9855236212131911,238.0,0.8422222222222223,30.0,0.8975,20.0,,0.0,,0.0
2,19,0.901596795,13316.0,0.8985294056147306,978.0,0.9806334298425252,238.0,0.9233333333333333,30.0,0.9450000000000001,20.0,,0.0,,0.0
2,20,0.905935205,13316.0,0.8888507282923708,978.0,0.978020620012711,238.0,0.9133333333333333,30.0,0.8325,20.0,,0.0,,0.0
2,21,0.9054192449999999,13316.0,0.898482358303955,978.0,0.9812513240590354,238.0,0.9077777777777778,30.0,0.89,20.0,,0.0,,0.0
2,22,0.9054661449999999,13316.0,0.9065954056732785,978.0,0.9858060871407386,238.0,0.9044444444444445,30.0,0.815,20.0,,0.0,,0.0
2,23,0.9037370750000001,13316.0,0.8961519481768645,978.0,0.9790445590000706,238.0,0.9488888888888889,30.0,0.8775,20.0,,0.0,,0.0
2,24,0.9055461850000001,13316.0,0.8970468925773981,978.0,0.9700762658004378,238.0,0.8700000000000001,30.0,0.84,20.0,,0.0,,0.0
2,25,0.9044475,13316.0,0.8960013967823821,978.0,0.9814808276251678,238.0,0.8588888888888889,30.0,0.8775000000000001,20.0,,0.0,,0.0
2,26,0.9045802400000001,13316.0,0.904010940067999,978.0,0.982593037214886,238.0,0.8788888888888888,30.0,0.8275,20.0,,0.0,,0.0
2,27,0.9067935399999998,13316.0,0.9039262549086028,978.0,0.9809158957700728,238.0,0.9188888888888889,30.0,0.9425,20.0,,0.0,,0.0
