EPOCH,BATCH,PheCodePheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,LOINCLOINC,N,LOINCPheCode,N,CCSPheCode,N,PheCodeRXNORM,N
0,0,0.6453863900000001,13316.0,0.6409161052354249,978.0,0.43256125979803683,238.0,0.5455555555555556,30.0,0.6925,20.0,,0.0,,0.0
1,0,0.9152571300000001,13316.0,0.9316663948377599,978.0,0.9872537250194195,238.0,0.91,30.0,0.89,20.0,,0.0,,0.0
1,1,0.917567235,13316.0,0.9252595966059025,978.0,0.9791328296024292,238.0,0.89,30.0,0.8699999999999999,20.0,,0.0,,0.0
1,2,0.915218675,13316.0,0.9352869467759002,978.0,0.9863886731163054,238.0,0.8411111111111111,30.0,0.8775,20.0,,0.0,,0.0
1,3,0.917824375,13316.0,0.9196865812705702,978.0,0.9721064896546854,238.0,0.8788888888888889,30.0,0.885,20.0,,0.0,,0.0
1,4,0.91789155,13316.0,0.9340616257041413,978.0,0.9703234234870419,238.0,0.8922222222222222,30.0,0.9425,20.0,,0.0,,0.0
1,5,0.91919188,13316.0,0.9366664784774237,978.0,0.9840230209730951,238.0,0.8922222222222222,30.0,0.8875,20.0,,0.0,,0.0
1,6,0.921625965,13316.0,0.9314823875778372,978.0,0.9810924369747899,238.0,0.9066666666666666,30.0,0.875,20.0,,0.0,,0.0
1,7,0.91681433,13316.0,0.9261853831323891,978.0,0.9828755031424334,238.0,0.8911111111111111,30.0,0.9075000000000001,20.0,,0.0,,0.0
1,8,0.920812,13316.0,0.9216170892560669,978.0,0.9833698185156415,238.0,0.8300000000000001,30.0,0.915,20.0,,0.0,,0.0
1,9,0.9151028600000001,13316.0,0.9197174233965231,978.0,0.9778087705670504,238.0,0.9077777777777778,30.0,0.925,20.0,,0.0,,0.0
1,10,0.9158446800000001,13316.0,0.9221879299601456,978.0,0.9799272650236565,238.0,0.8922222222222222,30.0,0.9175,20.0,,0.0,,0.0
1,11,0.916808055,13316.0,0.9261310173510482,978.0,0.9809865122519597,238.0,0.8866666666666667,30.0,0.9,20.0,,0.0,,0.0
1,12,0.9158137299999999,13316.0,0.925091271782905,978.0,0.974013134665631,238.0,0.89,30.0,0.8925,20.0,,0.0,,0.0
1,13,0.916689415,13316.0,0.9249307881783698,978.0,0.980774662806299,238.0,0.9,30.0,0.9175,20.0,,0.0,,0.0
1,14,0.91789052,13316.0,0.9359111077655246,978.0,0.9747016453640279,238.0,0.8733333333333334,30.0,0.9400000000000001,20.0,,0.0,,0.0
1,15,0.91787543,13316.0,0.923848177282631,978.0,0.9809512040110162,238.0,0.92,30.0,0.9199999999999999,20.0,,0.0,,0.0
1,16,0.9184867600000001,13316.0,0.934527394080821,978.0,0.9821869924440364,238.0,0.8344444444444444,30.0,0.9025000000000001,20.0,,0.0,,0.0
1,17,0.915305455,13316.0,0.9275189130189317,978.0,0.9812866322999788,238.0,0.8611111111111112,30.0,0.925,20.0,,0.0,,0.0
1,18,0.917117215,13316.0,0.9281096181431158,978.0,0.9769084104229927,238.0,0.8388888888888889,30.0,0.86,20.0,,0.0,,0.0
1,19,0.91817338,13316.0,0.9349037725670267,978.0,0.9825224207329991,238.0,0.8066666666666668,30.0,0.8899999999999999,20.0,,0.0,,0.0
1,20,0.9178727650000001,13316.0,0.9288132368131615,978.0,0.9773144551938423,238.0,0.8944444444444444,30.0,0.8825000000000001,20.0,,0.0,,0.0
1,21,0.917030965,13316.0,0.9298383454401746,978.0,0.9788856719158251,238.0,0.8544444444444445,30.0,0.9075,20.0,,0.0,,0.0
1,22,0.91665097,13316.0,0.9292131389547551,978.0,0.9773850716757292,238.0,0.8700000000000001,30.0,0.9125,20.0,,0.0,,0.0
1,23,0.9187285350000002,13316.0,0.9330521995140535,978.0,0.9708883553421369,238.0,0.9055555555555556,30.0,0.9199999999999999,20.0,,0.0,,0.0
1,24,0.917328225,13316.0,0.918334232459717,978.0,0.9847821481533791,238.0,0.8155555555555556,30.0,0.9275,20.0,,0.0,,0.0
1,25,0.9139850199999999,13316.0,0.9304327097996412,978.0,0.9838994421297932,238.0,0.9133333333333333,30.0,0.875,20.0,,0.0,,0.0
1,26,0.920062115,13316.0,0.918923892088106,978.0,0.9840759833345103,238.0,0.8588888888888889,30.0,0.9275,20.0,,0.0,,0.0
1,27,0.916426235,13316.0,0.9276224171026384,978.0,0.9776322293623332,238.0,0.8544444444444445,30.0,0.9574999999999999,20.0,,0.0,,0.0
1,28,0.9140132599999999,13316.0,0.9350653016673567,978.0,0.9822046465645081,238.0,0.9111111111111112,30.0,0.9175,20.0,,0.0,,0.0
1,29,0.91613195,13316.0,0.9293903504920104,978.0,0.9814984817456395,238.0,0.9055555555555556,30.0,0.88,20.0,,0.0,,0.0
1,30,0.91829314,13316.0,0.928756257292333,978.0,0.9810041663724314,238.0,0.8955555555555555,30.0,0.845,20.0,,0.0,,0.0
1,31,0.91582965,13316.0,0.9324452892050469,978.0,0.9776675376032766,238.0,0.8922222222222222,30.0,0.8924999999999998,20.0,,0.0,,0.0
1,32,0.9134154800000002,13316.0,0.9292262076521928,978.0,0.9868300261280982,238.0,0.9055555555555556,30.0,0.91,20.0,,0.0,,0.0
1,33,0.91432028,13316.0,0.9232146068308514,978.0,0.9819221806369608,238.0,0.8944444444444445,30.0,0.9424999999999999,20.0,,0.0,,0.0
1,34,0.91554876,13316.0,0.9317782628878266,978.0,0.9801391144693171,238.0,0.8755555555555556,30.0,0.85,20.0,,0.0,,0.0
1,35,0.9152220749999999,13316.0,0.9329471271866545,978.0,0.9771379139891251,238.0,0.8222222222222223,30.0,0.8424999999999999,20.0,,0.0,,0.0
1,36,0.9137910950000001,13316.0,0.9247933054813253,978.0,0.9855059670927194,238.0,0.8277777777777778,30.0,0.8475,20.0,,0.0,,0.0
1,37,0.91456344,13316.0,0.934815428172348,978.0,0.9858767036226257,238.0,0.8844444444444445,30.0,0.8624999999999999,20.0,,0.0,,0.0
1,38,0.914852825,13316.0,0.9339424391835095,978.0,0.9810041663724314,238.0,0.9022222222222223,30.0,0.8899999999999999,20.0,,0.0,,0.0
1,39,0.9142794399999999,13316.0,0.9366157719313655,978.0,0.9824341501306405,238.0,0.88,30.0,0.9075,20.0,,0.0,,0.0
1,40,0.9136544349999999,13316.0,0.9236296686614726,978.0,0.9844467198644163,238.0,0.8888888888888888,30.0,0.9375,20.0,,0.0,,0.0
1,41,0.91579334,13316.0,0.9288613296197321,978.0,0.985470658851776,238.0,0.8700000000000001,30.0,0.9650000000000001,20.0,,0.0,,0.0
1,42,0.9109190100000001,13316.0,0.9215423363067233,978.0,0.982522420732999,238.0,0.9222222222222222,30.0,0.9275000000000001,20.0,,0.0,,0.0
1,43,0.9143521350000001,13316.0,0.925488560185011,978.0,0.986918296730457,238.0,0.8877777777777778,30.0,0.8875,20.0,,0.0,,0.0
1,44,0.9164259150000001,13316.0,0.9288278737542918,978.0,0.9792917166866747,238.0,0.9077777777777778,30.0,0.8175,20.0,,0.0,,0.0
1,45,0.913086255,13316.0,0.9278691541102623,978.0,0.9750370736529905,238.0,0.9344444444444445,30.0,0.86,20.0,,0.0,,0.0
1,46,0.9155704449999998,13316.0,0.9261629049727961,978.0,0.9827342701786597,238.0,0.9077777777777778,30.0,0.9,20.0,,0.0,,0.0
1,47,0.911524615,13316.0,0.9274478193048707,978.0,0.9760257043994068,238.0,0.94,30.0,0.925,20.0,,0.0,,0.0
1,48,0.9133513899999999,13316.0,0.9245842063223222,978.0,0.9807923169267707,238.0,0.8844444444444445,30.0,0.8875,20.0,,0.0,,0.0
1,49,0.913767525,13316.0,0.9252480961521572,978.0,0.984093637454982,238.0,0.9155555555555556,30.0,0.8825,20.0,,0.0,,0.0
1,50,0.9127799299999999,13316.0,0.9299036889273631,978.0,0.9824694583715838,238.0,0.89,30.0,0.9325,20.0,,0.0,,0.0
1,51,0.9124638399999999,13316.0,0.9350590286925866,978.0,0.9844290657439446,238.0,0.9033333333333333,30.0,0.9075,20.0,,0.0,,0.0
1,52,0.9118442099999999,13316.0,0.9289292868464083,978.0,0.9831756231904527,238.0,0.8844444444444445,30.0,0.9500000000000001,20.0,,0.0,,0.0
1,53,0.915842265,13316.0,0.9267076082819994,978.0,0.9903431961019702,238.0,0.8711111111111112,30.0,0.8999999999999999,20.0,,0.0,,0.0
1,54,0.91124373,13316.0,0.9270986237093354,978.0,0.9798919567827131,238.0,0.8588888888888889,30.0,0.9125,20.0,,0.0,,0.0
1,55,0.912815395,13316.0,0.9293485306602097,978.0,0.9880305063201751,238.0,0.8577777777777779,30.0,0.9049999999999999,20.0,,0.0,,0.0
1,56,0.9162821900000001,13316.0,0.926077174317605,978.0,0.9844820281053597,238.0,0.8933333333333333,30.0,0.89,20.0,,0.0,,0.0
1,57,0.91353858,13316.0,0.9392828317044509,978.0,0.984534990466775,238.0,0.8911111111111112,30.0,0.9,20.0,,0.0,,0.0
1,58,0.91384169,13316.0,0.9288132368131615,978.0,0.9839877127321518,238.0,0.8866666666666667,30.0,0.8875,20.0,,0.0,,0.0
1,59,0.9129981249999999,13316.0,0.9321755512899325,978.0,0.9835816679613022,238.0,0.8833333333333333,30.0,0.9275,20.0,,0.0,,0.0
1,60,0.9139715449999999,13316.0,0.9283479911843795,978.0,0.9828931572629052,238.0,0.9044444444444445,30.0,0.8975,20.0,,0.0,,0.0
1,61,0.9147483150000001,13316.0,0.9297154996842603,978.0,0.9835463597203588,238.0,0.9122222222222223,30.0,0.9425,20.0,,0.0,,0.0
1,62,0.912181025,13316.0,0.9311049635958365,978.0,0.9865828684414942,238.0,0.9122222222222223,30.0,0.8624999999999999,20.0,,0.0,,0.0
2,0,0.9156099600000002,13316.0,0.9310485068229056,978.0,0.9808805875291292,238.0,0.8744444444444445,30.0,0.875,20.0,,0.0,,0.0
2,1,0.91066343,13316.0,0.9348708394494838,978.0,0.9898312266082904,238.0,0.9033333333333334,30.0,0.9524999999999999,20.0,,0.0,,0.0
2,2,0.9114979799999999,13316.0,0.9370120148376765,978.0,0.9865122519596075,238.0,0.8911111111111111,30.0,0.8699999999999999,20.0,,0.0,,0.0
2,3,0.912332605,13316.0,0.925553380924302,978.0,0.986035590706871,238.0,0.9133333333333334,30.0,0.8900000000000001,20.0,,0.0,,0.0
2,4,0.9109711050000002,13316.0,0.9296349965080442,978.0,0.9816573688298849,238.0,0.9044444444444444,30.0,0.8875,20.0,,0.0,,0.0
2,5,0.91152796,13316.0,0.9335535147477636,978.0,0.9818515641550738,238.0,0.91,30.0,0.8975,20.0,,0.0,,0.0
2,6,0.912970445,13316.0,0.9325142919275179,978.0,0.989601723042158,238.0,0.9,30.0,0.9225,20.0,,0.0,,0.0
2,7,0.9121752650000001,13316.0,0.9335033309496029,978.0,0.9863357107548902,238.0,0.9366666666666666,30.0,0.885,20.0,,0.0,,0.0
2,8,0.910904365,13316.0,0.9315869371573386,978.0,0.9860179365863992,238.0,0.8711111111111112,30.0,0.855,20.0,,0.0,,0.0
2,9,0.912290725,13316.0,0.9294562167270963,978.0,0.9844290657439446,238.0,0.9344444444444445,30.0,0.835,20.0,,0.0,,0.0
2,10,0.91445776,13316.0,0.9394302466115481,978.0,0.9837582091660193,238.0,0.92,30.0,0.8825000000000001,20.0,,0.0,,0.0
2,11,0.91106468,13316.0,0.928310353335759,978.0,0.9871654544170609,238.0,0.9177777777777778,30.0,0.8624999999999999,20.0,,0.0,,0.0
2,12,0.9111794050000002,13316.0,0.9295252194495675,978.0,0.990608007909046,238.0,0.89,30.0,0.8625,20.0,,0.0,,0.0
2,13,0.911919875,13316.0,0.9328300316576127,978.0,0.9868829884895134,238.0,0.9155555555555556,30.0,0.8325,20.0,,0.0,,0.0
2,14,0.9123234100000001,13316.0,0.9267703380297004,978.0,0.9861238613092296,238.0,0.9166666666666667,30.0,0.9,20.0,,0.0,,0.0
