EPOCH,BATCH,TOP1,TOP5,TOP10,TOP20
0,0,13.389328063241107,30.138339920948614,39.426877470355734,47.183794466403164
1,0,72.97430830039525,81.52173913043478,84.04150197628458,86.31422924901186
1,1,73.02371541501977,84.23913043478261,86.90711462450594,89.08102766798419
1,2,74.1106719367589,85.67193675889328,88.3399209486166,90.36561264822134
1,3,74.45652173913044,86.16600790513834,88.14229249011858,90.46442687747036
1,4,74.50592885375494,85.37549407114624,88.09288537549406,90.31620553359684
1,5,74.70355731225297,85.91897233201581,88.73517786561264,90.46442687747036
1,6,74.35770750988142,86.21541501976284,88.58695652173914,90.41501976284584
1,7,74.90118577075098,85.91897233201581,88.14229249011858,90.46442687747036
1,8,73.46837944664031,85.27667984189723,88.2905138339921,90.36561264822134
1,9,74.85177865612648,85.62252964426878,88.3399209486166,90.71146245059289
1,10,75.19762845849802,86.7094861660079,88.53754940711462,90.46442687747036
1,11,73.71541501976284,85.47430830039525,87.99407114624506,90.26679841897233
1,12,75.29644268774703,85.96837944664031,88.73517786561264,90.46442687747036
1,13,74.45652173913044,86.06719367588933,88.09288537549406,90.56324110671937
1,14,75.29644268774703,86.16600790513834,88.19169960474308,90.16798418972331
1,15,75.69169960474308,85.27667984189723,88.3399209486166,90.66205533596839
1,16,75.39525691699605,86.56126482213439,88.53754940711462,91.10671936758892
1,17,73.56719367588933,85.91897233201581,88.43873517786561,90.21739130434783
1,18,74.95059288537549,85.72134387351778,88.2905138339921,90.31620553359684
1,19,74.80237154150198,86.16600790513834,88.3893280632411,90.66205533596839
1,20,74.40711462450594,86.11660079051383,88.53754940711462,90.81027667984189
1,21,74.85177865612648,86.21541501976284,88.88339920948617,90.81027667984189
1,22,73.17193675889328,85.91897233201581,88.53754940711462,90.81027667984189
1,23,75.7905138339921,85.91897233201581,88.78458498023716,90.51383399209486
1,24,75.04940711462451,85.32608695652173,88.14229249011858,90.36561264822134
1,25,74.30830039525692,86.26482213438736,88.93280632411067,90.9090909090909
1,26,73.81422924901186,86.11660079051383,88.83399209486166,90.66205533596839
1,27,74.80237154150198,86.7094861660079,89.32806324110672,91.20553359683794
1,28,73.56719367588933,86.11660079051383,88.53754940711462,90.61264822134387
1,29,75.24703557312253,86.06719367588933,88.68577075098814,90.66205533596839
1,30,74.75296442687747,85.67193675889328,88.3399209486166,90.21739130434783
1,31,74.90118577075098,85.62252964426878,87.89525691699605,90.31620553359684
1,32,75.8893280632411,86.06719367588933,88.68577075098814,90.61264822134387
1,33,74.90118577075098,85.86956521739131,88.63636363636364,90.61264822134387
1,34,73.91304347826086,86.6600790513834,88.83399209486166,90.76086956521739
1,35,74.35770750988142,85.8201581027668,88.53754940711462,90.31620553359684
1,36,75.19762845849802,85.91897233201581,87.89525691699605,90.26679841897233
1,37,75.09881422924902,86.41304347826086,88.78458498023716,90.9090909090909
1,38,76.43280632411067,86.41304347826086,88.83399209486166,90.81027667984189
1,39,74.40711462450594,85.86956521739131,88.63636363636364,90.36561264822134
1,40,74.35770750988142,86.31422924901186,88.73517786561264,90.46442687747036
1,41,74.95059288537549,85.96837944664031,88.58695652173914,90.56324110671937
1,42,75.8399209486166,85.7707509881423,88.98221343873519,90.76086956521739
1,43,75.98814229249012,85.86956521739131,88.73517786561264,90.61264822134387
1,44,75.14822134387352,85.91897233201581,88.58695652173914,90.56324110671937
1,45,76.23517786561264,86.16600790513834,88.63636363636364,90.61264822134387
1,46,76.38339920948617,86.26482213438736,88.78458498023716,90.61264822134387
1,47,74.80237154150198,86.36363636363636,88.78458498023716,91.30434782608695
1,48,75.98814229249012,86.26482213438736,88.73517786561264,90.11857707509881
1,49,73.61660079051383,86.46245059288538,88.98221343873519,90.8596837944664
1,50,75.0,86.01778656126481,88.93280632411067,90.81027667984189
1,51,74.35770750988142,86.26482213438736,88.88339920948617,90.8596837944664
1,52,75.24703557312253,86.11660079051383,88.53754940711462,90.61264822134387
1,53,75.24703557312253,86.11660079051383,88.53754940711462,90.46442687747036
1,54,75.8893280632411,85.96837944664031,88.43873517786561,90.31620553359684
1,55,76.82806324110672,86.21541501976284,88.3399209486166,90.46442687747036
1,56,74.85177865612648,86.11660079051383,88.63636363636364,90.51383399209486
1,57,75.14822134387352,85.96837944664031,88.73517786561264,90.26679841897233
1,58,73.81422924901186,86.01778656126481,88.83399209486166,90.95849802371542
1,59,76.97628458498023,86.46245059288538,88.63636363636364,90.51383399209486
1,60,74.1106719367589,86.16600790513834,89.13043478260869,90.76086956521739
1,61,75.59288537549406,86.06719367588933,88.68577075098814,90.71146245059289
1,62,75.39525691699605,86.26482213438736,88.83399209486166,90.8596837944664
2,0,75.64229249011858,86.21541501976284,89.03162055335969,90.66205533596839
2,1,74.40711462450594,86.01778656126481,88.98221343873519,90.66205533596839
2,2,74.95059288537549,86.56126482213439,88.3399209486166,90.76086956521739
2,3,75.19762845849802,86.51185770750988,88.63636363636364,90.56324110671937
