EPOCH,BATCH,TOP1,TOP5,TOP10,TOP20
0,0,54.24901185770751,67.73715415019763,71.73913043478261,76.23517786561264
1,0,72.5296442687747,80.68181818181817,82.90513833992095,84.78260869565217
1,1,70.65217391304348,82.21343873517787,84.9308300395257,87.10474308300395
1,2,71.73913043478261,82.16403162055336,84.98023715415019,88.63636363636364
1,3,71.04743083003953,82.5592885375494,84.88142292490119,88.14229249011858
1,4,72.82608695652173,83.49802371541502,86.26482213438736,88.3399209486166
1,5,73.71541501976284,84.18972332015811,86.6600790513834,88.78458498023716
1,6,73.46837944664031,83.44861660079052,86.16600790513834,88.58695652173914
1,7,72.87549407114624,83.84387351778656,86.6106719367589,88.68577075098814
1,8,72.97430830039525,83.15217391304348,85.62252964426878,88.2411067193676
1,9,72.03557312252964,83.99209486166008,86.6600790513834,89.2292490118577
1,10,72.87549407114624,83.64624505928853,86.31422924901186,88.93280632411067
1,11,72.38142292490119,83.20158102766798,85.8201581027668,88.43873517786561
1,12,71.09683794466403,83.10276679841897,85.52371541501977,88.2411067193676
1,13,73.71541501976284,83.00395256916995,86.06719367588933,88.63636363636364
1,14,72.5790513833992,83.64624505928853,86.01778656126481,88.53754940711462
1,15,72.48023715415019,83.79446640316206,86.26482213438736,88.68577075098814
1,16,72.87549407114624,83.69565217391305,87.05533596837944,88.68577075098814
1,17,71.49209486166008,83.94268774703558,86.7588932806324,89.13043478260869
1,18,72.77667984189723,83.99209486166008,86.21541501976284,88.78458498023716
1,19,72.67786561264822,83.3498023715415,85.86956521739131,88.63636363636364
1,20,71.29446640316206,83.59683794466403,86.6600790513834,89.13043478260869
1,21,72.08498023715416,83.94268774703558,86.6600790513834,89.2292490118577
1,22,71.68972332015811,84.1403162055336,86.85770750988142,88.78458498023716
1,23,71.68972332015811,83.44861660079052,86.51185770750988,89.03162055335969
1,24,71.98616600790514,84.0909090909091,86.7094861660079,88.68577075098814
1,25,73.61660079051383,84.53557312252964,87.40118577075098,89.42687747035573
1,26,72.4308300395257,84.43675889328063,86.90711462450594,89.32806324110672
1,27,72.13438735177866,83.99209486166008,86.7588932806324,89.27865612648222
1,28,72.92490118577075,84.0909090909091,86.7588932806324,88.98221343873519
1,29,73.56719367588933,84.38735177865613,87.20355731225297,89.42687747035573
1,30,73.22134387351778,83.59683794466403,86.80830039525692,89.1798418972332
1,31,71.54150197628458,84.38735177865613,87.20355731225297,89.27865612648222
1,32,73.3201581027668,84.48616600790514,86.80830039525692,89.2292490118577
1,33,73.12252964426878,84.68379446640316,87.20355731225297,89.72332015810277
1,34,71.83794466403161,84.18972332015811,86.85770750988142,89.52569169960475
1,35,72.4308300395257,83.79446640316206,86.85770750988142,89.62450592885376
1,36,72.67786561264822,84.23913043478261,87.00592885375494,89.2292490118577
1,37,74.06126482213439,84.18972332015811,87.05533596837944,89.27865612648222
1,38,73.46837944664031,84.58498023715416,87.05533596837944,89.08102766798419
1,39,72.48023715415019,84.58498023715416,87.20355731225297,89.52569169960475
1,40,73.2707509881423,84.0909090909091,86.6600790513834,89.37747035573122
1,41,72.87549407114624,85.0296442687747,87.5,90.01976284584981
1,42,73.17193675889328,84.63438735177866,87.30237154150198,89.9209486166008
1,43,72.33201581027669,83.99209486166008,87.15415019762845,89.42687747035573
1,44,73.17193675889328,84.04150197628458,87.05533596837944,89.27865612648222
