EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,LOINCRXNORM,N,RXNORMRXNORM,N,CCSPheCode,N,LOINCLOINC,N
0,0,0.7264664382181012,1353.0,0.8545174383365197,1161.0,0.7629869601977108,496.0,0.8470710059171598,260.0,0.6201873048907388,93.0,0.8636363636363636,44.0,0.7345679012345678,18.0
1,0,0.8491485620359126,1353.0,0.7266412497468323,1161.0,0.7407363748699273,496.0,0.868594674556213,260.0,0.5682737888773269,93.0,0.6745867768595042,44.0,0.7283950617283951,18.0
1,1,0.8553929320788874,1353.0,0.7361384680556204,1161.0,0.784005918314256,496.0,0.8763461538461539,260.0,0.5303503295178634,93.0,0.7112603305785125,44.0,0.5771604938271604,18.0
1,2,0.8618814831566981,1353.0,0.7471754650309625,1161.0,0.7797500975546305,496.0,0.8587573964497042,260.0,0.5168227540756157,93.0,0.6962809917355373,44.0,0.6018518518518519,18.0
1,3,0.8415191337964578,1353.0,0.7381664058947075,1161.0,0.7707872658688866,496.0,0.8814497041420117,260.0,0.4836397271360851,93.0,0.8006198347107438,44.0,0.8364197530864198,18.0
1,4,0.8331284834718937,1353.0,0.7295268046124365,1161.0,0.771051476326743,496.0,0.8626627218934911,260.0,0.5451497282922881,93.0,0.7840909090909091,44.0,0.6944444444444444,18.0
1,5,0.8567370203030794,1353.0,0.7269943861695158,1161.0,0.7783802679500521,496.0,0.8645857988165679,260.0,0.5184414383165683,93.0,0.7293388429752067,44.0,0.7993827160493827,18.0
1,6,0.8405667185073382,1353.0,0.7303046691905535,1161.0,0.7611537460978147,496.0,0.88146449704142,260.0,0.5364782055728986,93.0,0.8135330578512397,44.0,0.6851851851851852,18.0
1,7,0.8393034776951276,1353.0,0.7378770714307441,1161.0,0.7798395226326743,496.0,0.86625,260.0,0.4771649901722742,93.0,0.7546487603305786,44.0,0.6296296296296297,18.0
1,8,0.8467679335128364,1353.0,0.7146145805280874,1161.0,0.7805874414672216,496.0,0.8650591715976331,260.0,0.5756734882645392,93.0,0.7634297520661157,44.0,0.5617283950617283,18.0
1,9,0.8599214796824444,1353.0,0.728754133217006,1161.0,0.7957287330905307,496.0,0.8671597633136093,260.0,0.5119667013527576,93.0,0.7463842975206612,44.0,0.8209876543209876,18.0
