EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,CCSPheCode,N
0,0,0.7250885497883717,1340.0,0.8035703463098897,1067.0,0.7639177939646201,124.0,0.6107,100.0,0.8684784764927593,71.0,0.7546296296296297,36.0
1,0,0.8519631321006906,1340.0,0.7560538573495219,1067.0,0.7510405827263267,124.0,0.6454000000000001,100.0,0.8887125570323349,71.0,0.6450617283950617,36.0
1,1,0.8523476832256628,1340.0,0.7278304840889985,1067.0,0.7674947970863684,124.0,0.6136,100.0,0.8883158103550883,71.0,0.720679012345679,36.0
1,2,0.8520218868344843,1340.0,0.7435868945593678,1067.0,0.7786810613943809,124.0,0.5672,100.0,0.9103352509422735,71.0,0.7353395061728395,36.0
1,3,0.851029182445979,1340.0,0.7554245144221858,1067.0,0.7471383975026016,124.0,0.5538000000000001,100.0,0.8940686371751636,71.0,0.6944444444444444,36.0
1,4,0.8425868790376477,1340.0,0.7576054753273858,1067.0,0.7548126951092612,124.0,0.5952,100.0,0.8887125570323349,71.0,0.8410493827160495,36.0
1,5,0.8541011361104923,1340.0,0.7416167393800028,1067.0,0.7732830385015608,124.0,0.648,100.0,0.8875223170005951,71.0,0.8641975308641976,36.0
1,6,0.8465220539095567,1340.0,0.7622533024034488,1067.0,0.7767950052029136,124.0,0.5705,100.0,0.8686768498313827,71.0,0.7037037037037037,36.0
1,7,0.843974437513923,1340.0,0.7596964046205101,1067.0,0.7522762747138396,124.0,0.5538000000000001,100.0,0.9004165840111088,71.0,0.7986111111111112,36.0
1,8,0.8533420583648921,1340.0,0.7467981684495852,1067.0,0.7731529656607701,124.0,0.5889,100.0,0.8827613568736361,71.0,0.845679012345679,36.0
1,9,0.8465713410559145,1340.0,0.7611492074143886,1067.0,0.7466831425598335,124.0,0.6371,100.0,0.8865304503074786,71.0,0.6820987654320988,36.0
1,10,0.8500930051236356,1340.0,0.7539133008751073,1067.0,0.7535119667013528,124.0,0.6568,100.0,0.8891093037095814,71.0,0.8248456790123456,36.0
1,11,0.8534690354199154,1340.0,0.755687582400884,1067.0,0.7534469302809574,124.0,0.5570999999999999,100.0,0.9190636778416981,71.0,0.7800925925925926,36.0
1,12,0.8377308420583649,1340.0,0.7585246761277448,1067.0,0.748764308012487,124.0,0.6559999999999999,100.0,0.8877206903392184,71.0,0.7091049382716048,36.0
1,13,0.8406195700601471,1340.0,0.7518816606923737,1067.0,0.8244667013527576,124.0,0.5931,100.0,0.9244197579845269,71.0,0.8140432098765432,36.0
