EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,LOINCRXNORM,N,RXNORMRXNORM,N,CCSPheCode,N,LOINCLOINC,N
0,0,0.7321760135561444,1353.0,0.8326311408457914,1161.0,0.7460124544745057,496.0,0.8546449704142012,260.0,0.6372991097236674,93.0,0.856404958677686,44.0,0.6512345679012346,18.0
1,0,0.8473158386089,1353.0,0.6494023017669434,1161.0,0.7234041688345474,496.0,0.9035650887573964,260.0,0.6394958954792462,93.0,0.7076446280991736,44.0,0.5864197530864197,18.0
1,1,0.8476944011528403,1353.0,0.6534359209478895,1161.0,0.7122849733350677,496.0,0.8683727810650889,260.0,0.493698693490577,93.0,0.855888429752066,44.0,0.5648148148148149,18.0
1,2,0.8577607233439801,1353.0,0.6493529665314213,1161.0,0.7102952653485952,496.0,0.8640384615384615,260.0,0.5123135622615331,93.0,0.7112603305785125,44.0,0.441358024691358,18.0
1,3,0.8452760802552594,1353.0,0.6276332218282823,1161.0,0.7011698426118625,496.0,0.8669970414201184,260.0,0.5006359116660886,93.0,0.8026859504132232,44.0,0.6388888888888888,18.0
1,4,0.8349743172900385,1353.0,0.6454944317953353,1161.0,0.7303081913371487,496.0,0.8696745562130177,260.0,0.5215631864955486,93.0,0.8414256198347108,44.0,0.5617283950617284,18.0
1,5,0.8493708924188617,1353.0,0.6481789363026468,1161.0,0.7221603472944849,496.0,0.8514201183431952,260.0,0.5596022661579373,93.0,0.7990702479338844,44.0,0.5462962962962963,18.0
1,6,0.8349434532442481,1353.0,0.6523271764443168,1161.0,0.7366675338189387,496.0,0.8886834319526626,260.0,0.5568273788877327,93.0,0.7995867768595042,44.0,0.5308641975308641,18.0
1,7,0.8378807271241429,1353.0,0.6431842073830737,1161.0,0.7203108740894899,496.0,0.8664349112426035,260.0,0.5524338073765753,93.0,0.7510330578512397,44.0,0.3888888888888889,18.0
1,8,0.8470219473410214,1353.0,0.6193137431644733,1161.0,0.7274648803329865,496.0,0.8606508875739645,260.0,0.5940571164296451,93.0,0.7045454545454546,44.0,0.44753086419753085,18.0
1,9,0.8485192632615703,1353.0,0.6406402897499186,1161.0,0.7182012552029137,496.0,0.8739792899408285,260.0,0.524222453462828,93.0,0.7484504132231404,44.0,0.5277777777777778,18.0
1,10,0.8399625479826659,1353.0,0.6244995070185864,1161.0,0.7512966636316337,496.0,0.8725591715976332,260.0,0.5612209503988902,93.0,0.7412190082644629,44.0,0.3950617283950617,18.0
1,11,0.8421850324127108,1353.0,0.6317525285235559,1161.0,0.7133479123309052,496.0,0.8868934911242603,260.0,0.5554399352526305,93.0,0.7448347107438017,44.0,0.5246913580246914,18.0
1,12,0.8480579413736085,1353.0,0.6466640107246641,1161.0,0.7321251463319459,496.0,0.8644378698224853,260.0,0.5087293328708521,93.0,0.7985537190082644,44.0,0.5617283950617283,18.0
