EPOCH,BATCH,P_LOSS_one_one,N_LOSS_one_one,P_LOSS_hie,N_LOSS_hie,P_LOSS_OTOL,N_LOSS_OTOL,P_LOSS_LTOL,N_LOSS_LTOL,P_LOSS_REL,N_LOSS_REL,P_LOSS_SIM_NO_HIE,N_LOSS_SIM_NO_HIE,P_LOSS_SAP1,P_LOSS_SAP2,P_LOSS_SVD1,P_LOSS_SVD2
1,0,1501.775390625,448.02459716796875,142.4431610107422,27.926488876342773,1444.266845703125,420.41314697265625,76.7781982421875,23.466415405273438,,,129.23532104492188,38.651824951171875,1.308768649560086,1.34721262433128,,
1,1,899.419677734375,1037.32666015625,96.69689178466797,66.34760284423828,638.3855590820312,735.6329345703125,76.77262878417969,87.96210479736328,,,68.34101867675781,78.81787109375,1.1578420639112894,1.1561370468173433,,
1,2,1042.268310546875,1160.927490234375,114.16897583007812,66.52452087402344,746.6482543945312,840.6056518554688,80.47579956054688,89.13433074951172,,,67.5774154663086,75.77915954589844,1.1386622428089006,1.1377263320300297,,
1,3,920.4474487304688,1000.4107666015625,103.41522979736328,66.63664245605469,806.654541015625,880.9227905273438,73.58574676513672,78.87867736816406,,,65.17345428466797,71.23336029052734,1.0673749091230869,1.065737824726745,,
1,4,753.37353515625,805.4664306640625,73.41777801513672,45.85596466064453,918.28662109375,983.3886108398438,89.83842468261719,94.87080383300781,,,61.95954895019531,66.41096496582031,0.925621558731444,0.9612002899206425,,
1,5,1141.3857421875,1210.563232421875,109.21825408935547,71.47703552246094,896.0912475585938,947.9142456054688,76.6323471069336,80.36924743652344,,,93.3410873413086,99.01827239990234,1.091741843476166,1.0514025619101748,,
1,6,1097.6500244140625,1151.5552978515625,117.08975219726562,77.26192474365234,733.4572143554688,782.3583374023438,66.56320190429688,69.07720947265625,,,72.50126647949219,76.21185302734375,1.0766760650373504,1.0425133788743397,,
1,7,888.5372924804688,938.6209716796875,94.42933654785156,53.16471481323242,1054.1107177734375,1113.85986328125,66.36016082763672,69.2347640991211,,,67.10963439941406,70.93611145019531,0.9514137790171419,0.9644168844979922,,
1,8,1062.473388671875,1110.4371337890625,103.4283447265625,62.22312927246094,682.2849731445312,726.9048461914062,64.0843276977539,66.27633666992188,,,77.79451751708984,81.68171691894531,1.0339659592200834,0.9912825962046058,,
1,9,1103.255126953125,1147.579833984375,106.10967254638672,63.68791580200195,690.8045043945312,717.3230590820312,69.33570098876953,71.564697265625,,,74.85260772705078,78.25243377685547,1.04833350295167,1.0174307560259357,,
1,10,1104.4560546875,1156.0401611328125,103.26806640625,49.01319122314453,821.7251586914062,856.1588134765625,96.03069305419922,99.25617980957031,,,85.19928741455078,89.41687774658203,1.0362542672944293,0.9852439243037467,,
1,11,954.363037109375,987.0134887695312,103.80865478515625,55.32158660888672,742.3504028320312,769.269775390625,64.2014389038086,66.04762268066406,,,67.44557189941406,70.26023864746094,0.9717803722406005,0.961273035129451,,
1,12,929.0823364257812,958.1732788085938,93.23297119140625,50.82474899291992,984.2578735351562,1014.6748657226562,85.46463775634766,87.63087463378906,,,70.6043930053711,73.46788787841797,0.9097418232654008,0.972459474331704,,
1,13,1073.5313720703125,1103.65283203125,107.17315673828125,56.13576889038086,695.3995361328125,707.8499755859375,69.98579406738281,70.92776489257812,,,79.20405578613281,82.19422149658203,0.9740328241315328,0.9740912177969573,,
1,14,968.7183837890625,993.022216796875,87.96101379394531,53.407283782958984,929.392333984375,958.3892822265625,77.89566802978516,79.01563262939453,,,71.86173248291016,74.31134796142578,0.93692815435942,0.9382348981647576,,
1,15,974.6084594726562,995.451171875,101.1556167602539,57.81195068359375,932.5679931640625,953.891845703125,66.8099136352539,68.3257064819336,,,68.4551010131836,70.1976547241211,0.919876771868067,0.9667553586047433,,
1,16,1021.4896240234375,1035.4095458984375,104.7022476196289,62.750892639160156,905.2443237304688,928.70166015625,67.28113555908203,67.78950500488281,,,77.80269622802734,79.06268310546875,0.9304022652765207,0.9607794599631884,,
1,17,1093.135986328125,1104.22412109375,104.32891845703125,54.24598693847656,1046.3291015625,1055.8916015625,64.67198944091797,65.30174255371094,,,77.31602478027344,78.26176452636719,0.9855329913983112,0.9316288089466346,,
1,18,1103.73974609375,1115.3048095703125,105.32140350341797,59.54331970214844,724.0902709960938,726.6360473632812,86.33883666992188,86.16146850585938,,,84.90987396240234,86.02469635009766,0.9262254399062968,0.9142780864478313,,
1,19,965.8082275390625,968.3121337890625,115.3794174194336,54.822879791259766,723.6264038085938,730.2327270507812,67.82494354248047,66.87752532958984,,,79.78678131103516,79.99650573730469,0.9202653292445608,0.9088201640371147,,
1,20,1043.2677001953125,1041.0765380859375,97.78941345214844,59.192604064941406,807.7517700195312,804.726806640625,65.17323303222656,64.51595306396484,,,83.4754409790039,83.69544982910156,0.9163725197394318,0.9095121790477864,,
1,21,986.3538208007812,977.9185791015625,88.9703369140625,56.386714935302734,973.9644775390625,967.31494140625,68.02684020996094,66.44196319580078,,,59.5943717956543,59.04367446899414,0.8654181606216013,0.8820594386250773,,
1,22,879.4268798828125,867.4315185546875,80.55194854736328,44.63283157348633,1108.9725341796875,1092.259033203125,65.27487182617188,63.85805130004883,,,68.87670135498047,68.039306640625,0.8426928096859158,0.8404548710036458,,
1,23,843.9804077148438,828.4000244140625,94.98058319091797,50.94947052001953,1086.9822998046875,1059.7332763671875,63.203426361083984,60.55133056640625,,,58.74758529663086,57.74827575683594,0.770044001936403,0.8185121644247325,,
1,24,1029.7923583984375,996.2686767578125,102.52629089355469,59.46687698364258,705.0156860351562,690.6412353515625,51.859947204589844,50.19718551635742,,,77.41448211669922,75.6392593383789,0.8486883059646967,0.8339518213238821,,
1,25,1101.342041015625,1064.167236328125,111.86286163330078,54.07465744018555,1030.8193359375,1002.5010986328125,71.51717376708984,68.08037567138672,,,80.07566833496094,78.08869934082031,0.8828355190431743,0.9075985549156369,,
1,26,1041.26953125,1004.3758544921875,113.13835906982422,66.41041564941406,979.2241821289062,950.1592407226562,65.6953125,63.21422576904297,,,78.16183471679688,75.3607406616211,0.8599285296852489,0.8864435654352326,,
1,27,979.4180908203125,936.5502319335938,102.02654266357422,68.88349151611328,850.0936279296875,808.0985107421875,66.44071960449219,62.757469177246094,,,71.82196044921875,68.82028198242188,0.8194834558239991,0.8285915495727834,,
1,28,990.9390258789062,943.5344848632812,105.02474212646484,56.255096435546875,710.0968627929688,681.5910034179688,60.711753845214844,57.24549102783203,,,79.68223571777344,75.9487533569336,0.8180600172055309,0.8183993255953267,,
1,29,1125.0782470703125,1066.8763427734375,114.50344848632812,64.03627014160156,935.26953125,882.6183471679688,41.506309509277344,39.45219802856445,,,93.0681381225586,88.25946807861328,0.8823163438751381,0.8740511811191922,,
1,30,902.175537109375,849.1122436523438,84.9867172241211,47.389610290527344,1071.847412109375,1009.3255004882812,89.17491149902344,82.27044677734375,,,64.02974700927734,60.61521530151367,0.7386415933977023,0.7892829478998573,,
1,31,941.8095703125,882.6248168945312,98.6241226196289,52.39048767089844,1240.3814697265625,1152.150390625,63.73469543457031,60.03424835205078,,,69.74031066894531,65.37425231933594,0.7580581334667522,0.80070789448001,,
1,32,922.827392578125,846.9909057617188,105.6434555053711,69.95926666259766,855.8958129882812,792.12744140625,61.540557861328125,56.26454162597656,,,75.74099731445312,69.90557098388672,0.6997423847905918,0.7692389639380387,,
1,33,1109.3253173828125,1022.9873046875,113.82572174072266,62.30669021606445,911.2786254882812,845.0220947265625,75.55428314208984,68.72441101074219,,,90.15861511230469,83.29715728759766,0.823121078833882,0.8047682255718506,,
1,34,1084.6688232421875,990.0804443359375,113.95299530029297,54.07223892211914,752.49951171875,683.9518432617188,64.73368072509766,58.0034065246582,,,71.73389434814453,65.99669647216797,0.7701805503727382,0.7353149887937681,,
1,35,883.42138671875,796.2271118164062,106.09960174560547,54.727149963378906,1008.2025756835938,900.5352783203125,51.07408905029297,44.751258850097656,,,69.64846801757812,62.794193267822266,0.6825742647204193,0.6900132845113798,,
1,36,1034.8355712890625,932.5488891601562,96.54750061035156,54.560935974121094,984.8795166015625,873.34033203125,65.47734832763672,57.239013671875,,,70.67256164550781,63.833702087402344,0.7133838112116473,0.723686377337725,,
1,37,1170.336181640625,1039.1351318359375,114.31172180175781,54.59473419189453,950.3641357421875,848.7131958007812,67.91394805908203,60.036766052246094,,,90.78048706054688,80.9532699584961,0.7395595122336875,0.7148974578603758,,
1,38,859.560302734375,762.8952026367188,104.13187408447266,61.377891540527344,1044.872802734375,914.7932739257812,77.07818603515625,66.6071548461914,,,66.19430541992188,58.610252380371094,0.635594971960926,0.6608761032021268,,
1,39,1077.2816162109375,937.8185424804688,105.2037353515625,58.21589279174805,642.692626953125,575.631591796875,100.29933166503906,85.91920471191406,,,82.7433090209961,72.78154754638672,0.6969257431071858,0.6629390840286234,,
1,40,990.992431640625,868.0042114257812,98.9793472290039,55.87333679199219,767.3019409179688,657.015380859375,116.94737243652344,100.15019226074219,,,74.62384796142578,64.79530334472656,0.6412375329788513,0.654218350954563,,
1,41,929.9852294921875,793.3590087890625,97.52132415771484,52.83664321899414,912.3235473632812,778.693115234375,89.4168930053711,75.95597076416016,,,69.35073852539062,59.35215377807617,0.5753711534857905,0.642060822562337,,
1,42,1071.9888916015625,918.1568603515625,98.16272735595703,44.55657958984375,685.6610717773438,577.2603759765625,81.16374206542969,66.93972778320312,,,78.34471893310547,67.07839965820312,0.6405176190783004,0.6313209493551095,,
1,43,872.6259765625,734.037841796875,96.1356201171875,39.683536529541016,1116.0753173828125,935.2262573242188,75.08293914794922,62.64787292480469,,,61.990535736083984,52.74614715576172,0.5683032857716355,0.6030942423170861,,
