EPOCH,BATCH,P_LOSS_one_one,N_LOSS_one_one,P_LOSS_hie,N_LOSS_hie,P_LOSS_OTOL,N_LOSS_OTOL,P_LOSS_LTOL,N_LOSS_LTOL,P_LOSS_REL,N_LOSS_REL,P_LOSS_SIM_NO_HIE,N_LOSS_SIM_NO_HIE,P_LOSS_SAP1,P_LOSS_SAP2,P_LOSS_SVD1,P_LOSS_SVD2
EPOCH,BATCH,P_LOSS_one_one,N_LOSS_one_one,P_LOSS_hie,N_LOSS_hie,P_LOSS_OTOL,N_LOSS_OTOL,P_LOSS_LTOL,N_LOSS_LTOL,P_LOSS_REL,N_LOSS_REL,P_LOSS_SIM_NO_HIE,N_LOSS_SIM_NO_HIE,P_LOSS_SAP1,P_LOSS_SAP2,P_LOSS_SVD1,P_LOSS_SVD2
1,0,,,,,,,,,224.3647003173828,620.5350341796875,,,,,173.40375228289264,167.26911351187945
1,1,,,,,,,,,225.2710723876953,757.921875,,,,,195.32722044357197,196.3957255638392
1,2,,,,,,,,,240.3914031982422,457.97021484375,,,,,118.25772767659666,119.08304920246556
1,3,,,,,,,,,292.9478759765625,528.6998901367188,,,,,117.52077596116828,118.01250916902218
1,4,,,,,,,,,307.489013671875,526.365478515625,,,,,115.86087105597217,115.14011111558524
1,5,,,,,,,,,302.5566711425781,530.9187622070312,,,,,118.17840313581382,118.34561177002514
1,6,,,,,,,,,334.040283203125,567.8426513671875,,,,,118.53062233500499,116.45842830071685
1,7,,,,,,,,,336.58892822265625,591.0388793945312,,,,,121.37813488492218,119.10865391809332
1,8,,,,,,,,,305.78656005859375,525.9252319335938,,,,,111.02592493174136,111.21926897302039
1,9,,,,,,,,,332.18646240234375,566.5798950195312,,,,,113.26842502456789,113.56591923161325
1,10,,,,,,,,,302.77099609375,514.7566528320312,,,,,112.10999101367727,112.27094085304522
1,11,,,,,,,,,394.4134216308594,678.7454223632812,,,,,123.04043802244128,122.49904229432475
1,12,,,,,,,,,237.2035369873047,405.9796447753906,,,,,113.42494014545667,112.34120839014632
1,13,,,,,,,,,272.3205261230469,471.4082336425781,,,,,114.0371730348971,113.9864613545686
1,14,,,,,,,,,333.6204833984375,568.68994140625,,,,,116.5277843523004,116.21931119882615
1,15,,,,,,,,,331.0411376953125,558.4385375976562,,,,,120.44885608966705,118.80527522423856
1,16,,,,,,,,,246.75924682617188,419.28741455078125,,,,,112.07038625579483,113.32819541313242
1,17,,,,,,,,,298.49359130859375,506.5025329589844,,,,,114.33520624211312,114.24060059376376
1,18,,,,,,,,,325.83612060546875,561.78857421875,,,,,112.92689910474648,113.45683101532425
1,19,,,,,,,,,277.7720947265625,468.78619384765625,,,,,111.40773447466479,108.38937980032684
1,20,,,,,,,,,264.9691162109375,446.3955993652344,,,,,108.94204358654974,108.7912404672516
