"code1","code2","source"
"RXNORM:732","PheCode:90.2","may treat(jun)"
"RXNORM:732","PheCode:112","may treat(jun)"
"RXNORM:732","PheCode:136","may treat(jun)"
"RXNORM:732","PheCode:130","may treat(jun)"
"RXNORM:732","PheCode:465.2","may treat(jun)"
"RXNORM:732","PheCode:117.3","may treat(jun)"
"RXNORM:732","PheCode:117","may treat(jun)"
"RXNORM:732","PheCode:133","may treat(jun)"
"RXNORM:732","PheCode:090","may treat(jun)"
"RXNORM:732","PheCode:480.1","may treat(jun)"
"RXNORM:732","PheCode:NA","may treat(jun)"
"RXNORM:732","PheCode:591","may treat(jun)"
"RXNORM:732","PheCode:706.1","may treat(jun)"
"RXNORM:732","PheCode:112.3","may treat(jun)"
"RXNORM:732","PheCode:041","may treat(jun)"
"RXNORM:732","PheCode:614.52","may treat(jun)"
"RXNORM:732","PheCode:117.1","may treat(jun)"
"RXNORM:732","PheCode:480","may treat(jun)"
"RXNORM:732","PheCode:949.1","may treat(jun)"
"RXNORM:732","PheCode:475","may treat(jun)"
"RXNORM:732","PheCode:079","may treat(jun)"
"RXNORM:732","PheCode:369","may treat(jun)"
"RXNORM:732","PheCode:117.2","may treat(jun)"
"RXNORM:732","PheCode:480.3","may treat(jun)"
"RXNORM:732","PheCode:054","may treat(jun)"
"RXNORM:732","PheCode:324","may treat(jun)"
"RXNORM:732","PheCode:686","may treat(jun)"
"RXNORM:732","PheCode:420.3","may treat(jun)"
"RXNORM:732","PheCode:381.11","may treat(jun)"
"RXNORM:732","PheCode:71.1","may treat(jun)"
"RXNORM:732","PheCode:117.4","may treat(jun)"
"RXNORM:733","PheCode:41.9","may treat(jun)"
"RXNORM:733","PheCode:567","may treat(jun)"
"RXNORM:733","PheCode:90.2","may treat(jun)"
"RXNORM:733","PheCode:41.2","may treat(jun)"
"RXNORM:733","PheCode:614.33","may treat(jun)"
"RXNORM:733","PheCode:591","may treat(jun)"
"RXNORM:733","PheCode:38.2","may treat(jun)"
"RXNORM:733","PheCode:041","may treat(jun)"
"RXNORM:733","PheCode:657","may treat(jun)"
"RXNORM:733","PheCode:381.11","may treat(jun)"
"RXNORM:733","PheCode:480.1","may treat(jun)"
"RXNORM:733","PheCode:464","may treat(jun)"
"RXNORM:733","PheCode:008","may treat(jun)"
"RXNORM:733","PheCode:38.1","may treat(jun)"
"RXNORM:733","PheCode:8.5","may treat(jun)"
"RXNORM:733","PheCode:41.11","may treat(jun)"
"RXNORM:733","PheCode:574.2","may treat(jun)"
"RXNORM:733","PheCode:465","may treat(jun)"
"RXNORM:733","PheCode:496.21","may treat(jun)"
