EPOCH,BATCH,TOP1,TOP5,TOP10,TOP20
0,0,13.389328063241107,30.138339920948614,39.426877470355734,47.183794466403164
1,0,72.97430830039525,81.52173913043478,84.04150197628458,86.31422924901186
1,1,73.02371541501977,84.23913043478261,86.90711462450594,89.08102766798419
1,2,74.1106719367589,85.67193675889328,88.3399209486166,90.36561264822134
1,3,74.45652173913044,86.16600790513834,88.14229249011858,90.46442687747036
1,4,74.50592885375494,85.37549407114624,88.09288537549406,90.31620553359684
1,5,74.70355731225297,85.91897233201581,88.73517786561264,90.46442687747036
1,6,74.35770750988142,86.21541501976284,88.58695652173914,90.41501976284584
1,7,74.90118577075098,85.91897233201581,88.14229249011858,90.46442687747036
1,8,73.46837944664031,85.27667984189723,88.2905138339921,90.36561264822134
1,9,74.85177865612648,85.62252964426878,88.3399209486166,90.71146245059289
1,10,75.19762845849802,86.7094861660079,88.53754940711462,90.46442687747036
1,11,73.71541501976284,85.47430830039525,87.99407114624506,90.26679841897233
1,12,75.29644268774703,85.96837944664031,88.73517786561264,90.46442687747036
1,13,74.45652173913044,86.06719367588933,88.09288537549406,90.56324110671937
1,14,75.29644268774703,86.16600790513834,88.19169960474308,90.16798418972331
1,15,75.69169960474308,85.27667984189723,88.3399209486166,90.66205533596839
1,16,75.39525691699605,86.56126482213439,88.53754940711462,91.10671936758892
1,17,73.56719367588933,85.91897233201581,88.43873517786561,90.21739130434783
1,18,74.95059288537549,85.72134387351778,88.2905138339921,90.31620553359684
1,19,74.80237154150198,86.16600790513834,88.3893280632411,90.66205533596839
1,20,74.40711462450594,86.11660079051383,88.53754940711462,90.81027667984189
1,21,74.85177865612648,86.21541501976284,88.88339920948617,90.81027667984189
1,22,73.17193675889328,85.91897233201581,88.53754940711462,90.81027667984189
