EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,LOINCRXNORM,N,RXNORMRXNORM,N,CCSPheCode,N,LOINCLOINC,N
0,0,0.8768693915522102,1353.0,0.8385869795039917,1161.0,0.9247975741415193,496.0,0.9848076923076923,260.0,0.87466759162909,93.0,0.8703512396694214,44.0,0.962962962962963,18.0
EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,LOINCRXNORM,N,RXNORMRXNORM,N,CCSPheCode,N,LOINCLOINC,N
0,0,0.8768693915522102,1353.0,0.8385869795039917,1161.0,0.9247975741415193,496.0,0.9848076923076923,260.0,0.87466759162909,93.0,0.8703512396694214,44.0,0.962962962962963,18.0
1,0,0.8910717690123887,1353.0,0.889546568381975,1161.0,0.9603359131113425,496.0,0.9942011834319526,260.0,0.9197595097699156,93.0,0.922004132231405,44.0,0.9907407407407407,18.0
1,1,0.9079426573342534,1353.0,0.8872189097135514,1161.0,0.9592343587408948,496.0,0.9922041420118344,260.0,0.9324777430916869,93.0,0.956095041322314,44.0,0.9969135802469136,18.0
1,2,0.8857626068701727,1353.0,0.892053020911463,1161.0,0.9596936784599376,496.0,0.9890680473372782,260.0,0.8924731182795699,93.0,0.9235537190082644,44.0,0.9660493827160495,18.0
1,3,0.8923090621754838,1353.0,0.8875987539329085,1161.0,0.9547143275234131,496.0,0.9832692307692308,260.0,0.9145565961382819,93.0,0.9240702479338843,44.0,0.9938271604938271,18.0
1,4,0.8902135846595314,1353.0,0.898849413281639,1161.0,0.9593522372528618,496.0,0.9903994082840237,260.0,0.9005665394843335,93.0,0.9540289256198347,44.0,0.9753086419753086,18.0
1,5,0.8837982332655417,1353.0,0.9075977004587064,1161.0,0.9583929500520292,496.0,0.9890532544378698,260.0,0.8657648283038502,93.0,0.9607438016528926,44.0,0.9567901234567902,18.0
1,6,0.8880307045360314,1353.0,0.9057719258027732,1161.0,0.9577954279396462,496.0,0.9924408284023667,260.0,0.8932824604000463,93.0,0.9478305785123966,44.0,0.9969135802469136,18.0
1,7,0.9000971807742668,1353.0,0.9024015502392202,1161.0,0.959035184703434,496.0,0.9855621301775148,260.0,0.890738813735692,93.0,0.9380165289256198,44.0,0.9845679012345678,18.0
1,8,0.8961006965441556,1353.0,0.9032335722939252,1161.0,0.9620309248178981,496.0,0.9925591715976331,260.0,0.8969823100936525,93.0,0.9240702479338844,44.0,0.941358024691358,18.0
1,9,0.8893554003066739,1353.0,0.899534171513019,1161.0,0.9604659859521332,496.0,0.9899852071005917,260.0,0.8936293213088219,93.0,0.9173553719008265,44.0,0.9722222222222223,18.0
1,10,0.8860117043016831,1353.0,0.9016581832318065,1161.0,0.9563036550468264,496.0,0.993284023668639,260.0,0.8970979303965776,93.0,0.9478305785123967,44.0,0.9691358024691358,18.0
1,11,0.8882776169023532,1353.0,0.8996024247711847,1161.0,0.9572466831425598,496.0,0.9892603550295858,260.0,0.9190657879523644,93.0,0.9736570247933884,44.0,0.9969135802469136,18.0
1,12,0.8899344425816764,1353.0,0.9044120538221453,1161.0,0.9529136316337149,496.0,0.9904289940828402,260.0,0.8962885882761014,93.0,0.9514462809917356,44.0,0.9907407407407407,18.0
1,13,0.8913675722123076,1353.0,0.9003702739255489,1161.0,0.9588238163371489,496.0,0.993224852071006,260.0,0.9346745288472657,93.0,0.9597107438016529,44.0,0.9691358024691359,18.0
1,14,0.8820370707234587,1353.0,0.9097083582791572,1161.0,0.9572222944849115,496.0,0.9884763313609466,260.0,0.9064631749335182,93.0,0.9426652892561983,44.0,0.9814814814814815,18.0
1,15,0.8862498764072504,1353.0,0.903263618565183,1161.0,0.961535022112383,496.0,0.9933875739644971,260.0,0.9299340964273327,93.0,0.9586776859504134,44.0,0.9691358024691358,18.0
1,16,0.8893974628115562,1353.0,0.9038586089244102,1161.0,0.9561735822060354,496.0,0.9916568047337279,260.0,0.8825297722280032,93.0,0.9545454545454546,44.0,0.9753086419753086,18.0
1,17,0.8911324045713749,1353.0,0.9063135005686533,1161.0,0.9565475416233091,496.0,0.991094674556213,260.0,0.8994103364550815,93.0,0.9493801652892563,44.0,0.9938271604938271,18.0
1,18,0.8950556891176651,1353.0,0.9014808731372239,1161.0,0.9581043509365246,496.0,0.9903994082840237,260.0,0.8676147531506533,93.0,0.921487603305785,44.0,0.9753086419753088,18.0
1,19,0.8864203114919679,1353.0,0.9039813906007843,1161.0,0.9592790712799169,496.0,0.9897337278106508,260.0,0.9144409758353567,93.0,0.9700413223140496,44.0,0.9845679012345678,18.0
1,20,0.8863394640799865,1353.0,0.9080791826820711,1161.0,0.9531737773152967,496.0,0.9905029585798817,260.0,0.8982541334258296,93.0,0.9540289256198348,44.0,0.9814814814814815,18.0
1,21,0.8927373349524665,1353.0,0.9017924640984152,1161.0,0.9597505853277835,496.0,0.9919378698224852,260.0,0.9397618221759741,93.0,0.8894628099173554,44.0,0.9660493827160495,18.0
1,22,0.8819463905181282,1353.0,0.9042562583415498,1161.0,0.9567385861082205,496.0,0.9869082840236686,260.0,0.9097005434154238,93.0,0.943698347107438,44.0,0.962962962962963,18.0
1,23,0.8928607911356274,1353.0,0.9053802114515614,1161.0,0.9546147405046826,496.0,0.9906508875739646,260.0,0.920568851890392,93.0,0.9488636363636364,44.0,0.9969135802469136,18.0
1,24,0.8876346614705817,1353.0,0.9060545833175684,1161.0,0.9606936134235172,496.0,0.9913017751479289,260.0,0.9057694531159672,93.0,0.9111570247933884,44.0,0.9845679012345679,18.0
1,25,0.8897976028742348,1353.0,0.9026174382623313,1161.0,0.9574661810613944,496.0,0.9919526627218934,260.0,0.9161752803792346,93.0,0.9204545454545455,44.0,0.9783950617283951,18.0
1,26,0.8944214739466483,1353.0,0.9044884677959615,1161.0,0.9587465855879292,496.0,0.9931065088757397,260.0,0.8947855243380738,93.0,0.9488636363636364,44.0,0.9753086419753088,18.0
1,27,0.8984753161379629,1353.0,0.9080984716463354,1161.0,0.9550923517169614,496.0,0.9900147928994083,260.0,0.9293559949127066,93.0,0.9323347107438017,44.0,0.9876543209876544,18.0
1,28,0.8944872990354575,1353.0,0.9078684878416464,1161.0,0.9564906347554631,496.0,0.9886094674556214,260.0,0.9162909006821598,93.0,0.9571280991735537,44.0,0.9938271604938271,18.0
1,29,0.8869146824909089,1353.0,0.9138751455018506,1161.0,0.9580433792924037,496.0,0.9910502958579882,260.0,0.9036882876633137,93.0,0.9442148760330578,44.0,0.9598765432098766,18.0
1,30,0.8971965067362829,1353.0,0.9093693176380515,1161.0,0.9544013397502602,496.0,0.992396449704142,260.0,0.9165221412880102,93.0,0.96900826446281,44.0,0.962962962962963,18.0
1,31,0.892675060594589,1353.0,0.9064470395520212,1161.0,0.9594701157648283,496.0,0.992085798816568,260.0,0.924731182795699,93.0,0.9147727272727273,44.0,0.9783950617283952,18.0
1,32,0.885249116550831,1353.0,0.9019749673756846,1161.0,0.9587262617065557,496.0,0.9934023668639054,260.0,0.9091224419007978,93.0,0.9261363636363636,44.0,0.9506172839506174,18.0
1,33,0.8943291549424263,1353.0,0.9057689582698096,1161.0,0.9524908949011447,496.0,0.989689349112426,260.0,0.931899641577061,93.0,0.9602272727272727,44.0,0.962962962962963,18.0
1,34,0.8902977096692958,1353.0,0.9073818124355951,1161.0,0.9541981009365245,496.0,0.9914497041420118,260.0,0.9251936640073997,93.0,0.9276859504132231,44.0,0.9814814814814815,18.0
1,35,0.8845122033159457,1353.0,0.9106186490157805,1161.0,0.9604415972944849,496.0,0.9892603550295858,260.0,0.8866921031333101,93.0,0.9705578512396694,44.0,0.9907407407407407,18.0
1,36,0.8847367187640834,1353.0,0.905611679022732,1161.0,0.9560394445889698,496.0,0.9949999999999999,260.0,0.9160596600763095,93.0,0.9478305785123968,44.0,0.9567901234567902,18.0
1,37,0.8855850703235917,1353.0,0.9030926144781483,1161.0,0.9564662460978147,496.0,0.9912278106508875,260.0,0.8961729679731761,93.0,0.9457644628099173,44.0,0.9691358024691358,18.0
1,38,0.8927955123131155,1353.0,0.9050530409423104,1161.0,0.9639129162330906,496.0,0.9936686390532544,260.0,0.9329402243033876,93.0,0.9405991735537191,44.0,0.962962962962963,18.0
1,39,0.8768038395965496,1353.0,0.9085925658847959,1161.0,0.9592790712799167,496.0,0.9950443786982248,260.0,0.9087755809920223,93.0,0.9493801652892562,44.0,0.9876543209876544,18.0
1,40,0.886217646695717,1353.0,0.9036427209012992,1161.0,0.9570434443288239,496.0,0.992707100591716,260.0,0.8947855243380738,93.0,0.9524793388429752,44.0,1.0,18.0
1,41,0.8965715780923179,1353.0,0.9118383050638725,1161.0,0.9555435418834549,496.0,0.9926331360946745,260.0,0.8999884379697075,93.0,0.9307851239669422,44.0,0.9537037037037037,18.0
1,42,0.8861097591020256,1353.0,0.910994783818933,1161.0,0.95525494276795,496.0,0.9937130177514794,260.0,0.871083362238409,93.0,0.987603305785124,44.0,0.9907407407407407,18.0
1,43,0.9055390856266958,1353.0,0.912299014556491,1161.0,0.9556573556191468,496.0,0.9944822485207101,260.0,0.8872702046479362,93.0,0.9581611570247934,44.0,0.9660493827160493,18.0
1,44,0.8927067440398251,1353.0,0.9036835244795504,1161.0,0.957840140478668,496.0,0.9892751479289941,260.0,0.8917793964620188,93.0,0.9137396694214877,44.0,0.9876543209876543,18.0
1,45,0.882012488740086,1353.0,0.9061287716416615,1161.0,0.9588603993236212,496.0,0.9931952662721893,260.0,0.9155971788646087,93.0,0.9276859504132232,44.0,0.9876543209876543,18.0
1,46,0.8843379443671477,1353.0,0.9097165189948075,1161.0,0.9557305215920916,496.0,0.9934023668639054,260.0,0.8807954676841254,93.0,0.9380165289256198,44.0,1.0,18.0
1,47,0.8856667371350191,1353.0,0.9028696785642482,1161.0,0.9516860691987513,496.0,0.9916568047337279,260.0,0.8899294716152156,93.0,0.9633264462809917,44.0,0.9814814814814815,18.0
1,48,0.8851043559820804,1353.0,0.9037243280578016,1161.0,0.9584214034859521,496.0,0.9926627218934911,260.0,0.893166840097121,93.0,0.9648760330578513,44.0,0.9938271604938271,18.0
1,49,0.8873953968324202,1353.0,0.9083269716845425,1161.0,0.9620959612382934,496.0,0.9889349112426036,260.0,0.9202219909816164,93.0,0.9116735537190084,44.0,0.9783950617283952,18.0
1,50,0.8834131155260354,1353.0,0.9091512039652175,1161.0,0.9533323035900104,496.0,0.987766272189349,260.0,0.8873858249508614,93.0,0.9576446280991736,44.0,0.9691358024691358,18.0
1,51,0.8927436170148841,1353.0,0.9091170773361348,1161.0,0.9532510080645161,496.0,0.991153846153846,260.0,0.9308590588507342,93.0,0.9436983471074379,44.0,0.9845679012345678,18.0
1,52,0.8946689325792674,1353.0,0.9137761040891863,1161.0,0.9525864171436005,496.0,0.9905917159763313,260.0,0.917562724014337,93.0,0.943698347107438,44.0,0.9969135802469136,18.0
1,53,0.8914432300944658,1353.0,0.9102580937606876,1161.0,0.9552630723204995,496.0,0.9902366863905325,260.0,0.8833391143484796,93.0,0.9380165289256199,44.0,0.9845679012345679,18.0
1,54,0.8875417962000623,1353.0,0.9080101875406645,1161.0,0.9544338579604579,496.0,0.9939792899408283,260.0,0.9176783443172621,93.0,0.9483471074380165,44.0,1.0,18.0
1,55,0.8849022374521267,1353.0,0.9145869824715246,1161.0,0.9530558988033299,496.0,0.9927366863905326,260.0,0.8833391143484796,93.0,0.9524793388429752,44.0,0.9876543209876543,18.0
1,56,0.8806484617960472,1353.0,0.9084924116472702,1161.0,0.9562548777315296,496.0,0.990414201183432,260.0,0.9121285697768529,93.0,0.9147727272727273,44.0,0.9753086419753086,18.0
1,57,0.8815705593056736,1353.0,0.9121105762132944,1161.0,0.9555476066597294,496.0,0.9888461538461538,260.0,0.9204532315874667,93.0,0.944214876033058,44.0,0.925925925925926,18.0
1,58,0.8878711947772573,1353.0,0.9121187369289446,1161.0,0.9586002536420396,496.0,0.9903254437869823,260.0,0.926003006127876,93.0,0.96900826446281,44.0,0.9938271604938271,18.0
1,59,0.8846159939124083,1353.0,0.9100236586565533,1161.0,0.9545232830385015,496.0,0.9913609467455622,260.0,0.9048444906925656,93.0,0.9772727272727273,44.0,0.9753086419753088,18.0
1,60,0.8860608682684287,1353.0,0.9137805553886319,1161.0,0.9514543769510926,496.0,0.9922781065088757,260.0,0.9177939646201874,93.0,0.9380165289256198,44.0,1.0,18.0
