EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,CCSPheCode,N
0,0,0.8828269102249945,1340.0,0.8682297325665861,1067.0,0.9121357960457857,124.0,0.9453,100.0,0.9476294386034517,71.0,0.8827160493827161,36.0
EPOCH,BATCH,PheCodePheCode,N,PheCodeRXNORM,N,LOINCPheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,CCSPheCode,N
0,0,0.8828269102249945,1340.0,0.8682297325665861,1067.0,0.9121357960457857,124.0,0.9453,100.0,0.9476294386034517,71.0,0.8827160493827161,36.0
1,0,0.8956752617509467,1340.0,0.9181283262288877,1067.0,0.9350936524453695,124.0,0.957,100.0,0.9593334655822258,71.0,0.8935185185185186,36.0
1,1,0.9056822232122967,1340.0,0.9098278507741401,1067.0,0.9251430801248699,124.0,0.9456,100.0,0.9648879190636779,71.0,0.9012345679012346,36.0
1,2,0.8975434395188239,1340.0,0.91418098901263,1067.0,0.9449141519250781,124.0,0.9430999999999999,100.0,0.9519936520531641,71.0,0.9367283950617283,36.0
1,3,0.8955674983292492,1340.0,0.9080685013206099,1067.0,0.9367845993756504,124.0,0.9533,100.0,0.9599285855980956,71.0,0.904320987654321,36.0
1,4,0.89955223880597,1340.0,0.9186685159013395,1067.0,0.9166233090530698,124.0,0.9325,100.0,0.9706407458837533,71.0,0.9529320987654322,36.0
1,5,0.8913226776564936,1340.0,0.9139657915008402,1067.0,0.9335327783558791,124.0,0.9578000000000001,100.0,0.9561594921642531,71.0,0.9243827160493827,36.0
1,6,0.9044809534417464,1340.0,0.9158718266052637,1067.0,0.9148673257023934,124.0,0.9326,100.0,0.9603253322753422,71.0,0.9282407407407408,36.0
1,7,0.8939056582757852,1340.0,0.9201090216945443,1067.0,0.9497918834547346,124.0,0.9601000000000001,100.0,0.9603253322753422,71.0,0.9266975308641975,36.0
1,8,0.8953784250389842,1340.0,0.9157198708112243,1067.0,0.9425728407908429,124.0,0.9508,100.0,0.9625074390001984,71.0,0.941358024691358,36.0
1,9,0.8958983069725995,1340.0,0.9192499883617672,1067.0,0.9308012486992716,124.0,0.9447,100.0,0.95596111882563,71.0,0.9128086419753088,36.0
1,10,0.887301737580753,1340.0,0.9213536538341608,1067.0,0.9222814776274714,124.0,0.9594,100.0,0.9549692521325135,71.0,0.9567901234567902,36.0
1,11,0.8950718422811316,1340.0,0.9186641241153843,1067.0,0.9402315296566076,124.0,0.9342999999999999,100.0,0.9591350922436025,71.0,0.9050925925925926,36.0
1,12,0.8906493651147248,1340.0,0.9225842322587219,1067.0,0.9326222684703434,124.0,0.9106,100.0,0.9680618924816505,71.0,0.9305555555555556,36.0
1,13,0.8926303185564715,1340.0,0.9157857476005479,1067.0,0.9376951092611864,124.0,0.931,100.0,0.9644911723864312,71.0,0.9521604938271605,36.0
1,14,0.9023774782802405,1340.0,0.9220238403708776,1067.0,0.9484261186264308,124.0,0.9538,100.0,0.9656814124181711,71.0,0.9066358024691359,36.0
1,15,0.8976163956337714,1340.0,0.9187370277622358,1067.0,0.9460197710718002,124.0,0.9520000000000001,100.0,0.9593334655822258,71.0,0.9375,36.0
1,16,0.8990008910670529,1340.0,0.9199298368275848,1067.0,0.915582726326743,124.0,0.9606,100.0,0.9672683991271573,71.0,0.9675925925925926,36.0
1,17,0.8974209177990644,1340.0,0.9251578188282892,1067.0,0.9342481789802289,124.0,0.9567,100.0,0.9611188256298353,71.0,0.962962962962963,36.0
1,18,0.8939181889062152,1340.0,0.9208020455182264,1067.0,0.9472554630593132,124.0,0.9505,100.0,0.9640944257091847,71.0,0.9398148148148148,36.0
1,19,0.8921808866117175,1340.0,0.9152613683575336,1067.0,0.9490114464099896,124.0,0.9367,100.0,0.9688553858361436,71.0,0.9290123456790124,36.0
1,20,0.8955017821341056,1340.0,0.9124866379912322,1067.0,0.9412721123829345,124.0,0.9267000000000001,100.0,0.9734179726244793,71.0,0.9189814814814814,36.0
1,21,0.8929588995321899,1340.0,0.9160966860461541,1067.0,0.9221514047866806,124.0,0.9434,100.0,0.9696488791906368,71.0,0.9699074074074074,36.0
1,22,0.891056471374471,1340.0,0.9217085101393161,1067.0,0.9305411030176899,124.0,0.9648,100.0,0.9698472525292601,71.0,0.9351851851851851,36.0
1,23,0.8931220761862331,1340.0,0.9192895144353613,1067.0,0.9236472424557752,124.0,0.959,100.0,0.9674667724657806,71.0,0.9112654320987654,36.0
1,24,0.8946263087547338,1340.0,0.9178823862154136,1067.0,0.9375,124.0,0.9652999999999999,100.0,0.95536599880976,71.0,0.9537037037037037,36.0
1,25,0.8907465471151704,1340.0,0.9174151001898131,1067.0,0.9192247658688866,124.0,0.9668,100.0,0.9634993056933149,71.0,0.9421296296296295,36.0
1,26,0.9017141902428158,1340.0,0.9213360866903413,1067.0,0.9335978147762748,124.0,0.9630000000000001,100.0,0.9633009323546915,71.0,0.9436728395061729,36.0
1,27,0.8925829806192915,1340.0,0.9204023929963311,1067.0,0.9397762747138398,124.0,0.954,100.0,0.9744098393175957,71.0,0.9305555555555556,36.0
1,28,0.9045037870349744,1340.0,0.9255372691347918,1067.0,0.9226716961498439,124.0,0.9636,100.0,0.9712358658996231,71.0,0.9398148148148149,36.0
1,29,0.8944402985074626,1340.0,0.9238938628304709,1067.0,0.9376951092611863,124.0,0.938,100.0,0.9654830390795477,71.0,0.9483024691358024,36.0
1,30,0.8991557139674761,1340.0,0.9182987275239375,1067.0,0.9256633714880333,124.0,0.9073,100.0,0.9672683991271572,71.0,0.9012345679012346,36.0
1,31,0.8916178436177322,1340.0,0.9173140891128505,1067.0,0.9275494276795004,124.0,0.9484,100.0,0.9559611188256298,71.0,0.9359567901234567,36.0
1,32,0.8982963911784363,1340.0,0.9181652172309087,1067.0,0.9282648283038502,124.0,0.9514,100.0,0.9575481055346162,71.0,0.9475308641975309,36.0
1,33,0.8993294720427711,1340.0,0.9239632530485582,1067.0,0.9534339229968782,124.0,0.9457,100.0,0.9680618924816504,71.0,0.9066358024691357,36.0
1,34,0.8958058587658722,1340.0,0.9213677075492165,1067.0,0.9250130072840791,124.0,0.9501,100.0,0.9672683991271573,71.0,0.8834876543209876,36.0
1,35,0.8992698819336156,1340.0,0.9279000499785242,1067.0,0.9477757544224765,124.0,0.9309,100.0,0.962904185677445,71.0,0.9560185185185185,36.0
1,36,0.8944664736021387,1340.0,0.9182952140951736,1067.0,0.9410770031217481,124.0,0.9648000000000001,100.0,0.9654830390795477,71.0,0.9567901234567902,36.0
1,37,0.9017554020940076,1340.0,0.9262935346762243,1067.0,0.9379552549427678,124.0,0.938,100.0,0.9656814124181711,71.0,0.9074074074074074,36.0
1,38,0.9043049676988193,1340.0,0.9262777242467868,1067.0,0.9403616024973985,124.0,0.9501000000000001,100.0,0.9680618924816505,71.0,0.9390432098765433,36.0
1,39,0.898328135442192,1340.0,0.914096666722296,1067.0,0.9169484911550468,124.0,0.9429,100.0,0.9714342392382465,71.0,0.9282407407407407,36.0
1,40,0.9024036533749165,1340.0,0.9231498942897121,1067.0,0.9342481789802289,124.0,0.9329,100.0,0.9601269589367188,71.0,0.9328703703703703,36.0
1,41,0.8874175762976164,1340.0,0.9195661969505194,1067.0,0.9284599375650364,124.0,0.9405,100.0,0.9694505058520134,71.0,0.9020061728395061,36.0
1,42,0.8887959456449097,1340.0,0.9281863944227832,1067.0,0.9317117585848076,124.0,0.9497,100.0,0.9440587185082325,71.0,0.9583333333333333,36.0
1,43,0.8924025395411004,1340.0,0.9203997579247583,1067.0,0.9367195629552549,124.0,0.9516,100.0,0.971830985915493,71.0,0.904320987654321,36.0
1,44,0.8989585653820449,1340.0,0.920551274540202,1067.0,0.9360691987513008,124.0,0.9427,100.0,0.9593334655822258,71.0,0.9768518518518519,36.0
1,45,0.8900657161951437,1340.0,0.9310015292198695,1067.0,0.9374349635796044,124.0,0.952,100.0,0.9712358658996231,71.0,0.9290123456790123,36.0
