name1,name2,desc1,desc2
PheCode:355.1,RXNORM:21949,chronic pain syndrome,cyclobenzaprine
PheCode:355.1,RXNORM:231049,chronic pain syndrome,eletriptan
PheCode:355.1,RXNORM:253146,chronic pain syndrome,amphetamine / dextroamphetamine
PheCode:355.1,RXNORM:25480,chronic pain syndrome,gabapentin
PheCode:355.1,RXNORM:2598,chronic pain syndrome,clonazepam
PheCode:355.1,RXNORM:327361,chronic pain syndrome,adalimumab
PheCode:355.1,RXNORM:3322,chronic pain syndrome,diazepam
PheCode:355.1,RXNORM:3355,chronic pain syndrome,diclofenac
PheCode:355.1,RXNORM:3361,chronic pain syndrome,dicyclomine
PheCode:355.1,RXNORM:3423,chronic pain syndrome,hydromorphone
PheCode:355.1,RXNORM:352364,chronic pain syndrome,buprenorphine / naloxone
PheCode:355.1,RXNORM:358263,chronic pain syndrome,tadalafil
PheCode:355.1,RXNORM:37418,chronic pain syndrome,sumatriptan
PheCode:355.1,RXNORM:38400,chronic pain syndrome,atomoxetine
PheCode:355.1,RXNORM:38404,chronic pain syndrome,topiramate
PheCode:355.1,RXNORM:3992,chronic pain syndrome,epinephrine
PheCode:355.1,RXNORM:4083,chronic pain syndrome,estradiol
PheCode:355.1,RXNORM:41493,chronic pain syndrome,meloxicam
PheCode:355.1,RXNORM:42347,chronic pain syndrome,bupropion
