name1,name2,desc1,desc2
PheCode:355.1,RXNORM:461016,chronic pain syndrome,eszopiclone
PheCode:355.1,RXNORM:57258,chronic pain syndrome,tizanidine
PheCode:355.1,RXNORM:591622,chronic pain syndrome,varenicline
PheCode:355.1,RXNORM:6387,chronic pain syndrome,lidocaine
PheCode:355.1,RXNORM:6813,chronic pain syndrome,methadone
PheCode:355.1,RXNORM:6845,chronic pain syndrome,methocarbamol
PheCode:355.1,RXNORM:700810,chronic pain syndrome,lisdexamfetamine
PheCode:355.1,RXNORM:7052,chronic pain syndrome,morphine
PheCode:355.1,RXNORM:709271,chronic pain syndrome,certolizumab pegol
PheCode:355.1,RXNORM:7242,chronic pain syndrome,naloxone
PheCode:355.1,RXNORM:7804,chronic pain syndrome,oxycodone
PheCode:355.1,RXNORM:7814,chronic pain syndrome,oxymorphone
PheCode:355.1,RXNORM:860189,chronic pain syndrome,onabotulinumtoxinA
PheCode:355.1,RXNORM:8629,chronic pain syndrome,prazosin
PheCode:355.1,RXNORM:88014,chronic pain syndrome,rizatriptan
PheCode:356,RXNORM:11248,hereditary and idiopathic peripheral neuropathy,vitamin B12
PheCode:356,RXNORM:187832,hereditary and idiopathic peripheral neuropathy,pregabalin
PheCode:356,RXNORM:25480,hereditary and idiopathic peripheral neuropathy,gabapentin
PheCode:356,RXNORM:306674,hereditary and idiopathic peripheral neuropathy,vardenafil
