EPOCH,BATCH,PheCodePheCode,N,RXNORMRXNORM,N,LOINCRXNORM,N,LOINCLOINC,N,LOINCPheCode,N,CCSPheCode,N,PheCodeRXNORM,N
0,0,0.64125922,13851.0,0.763773282220789,2735.0,0.573109887184947,1105.0,0.5550019477574739,919.0,0.6598557692307692,104.0,,0.0,,0.0
1,0,0.910163145,13851.0,0.9047493892229177,2735.0,0.9817956225302512,1105.0,0.9697381243036324,919.0,0.9201183431952662,104.0,,0.0,,0.0
1,1,0.91481753,13851.0,0.895516244497993,2735.0,0.9731217624536762,1105.0,0.9546794133283446,919.0,0.9232618343195267,104.0,,0.0,,0.0
1,2,0.9168333949999999,13851.0,0.8992217480089169,2735.0,0.9702946295120902,1105.0,0.957649003446761,919.0,0.9449889053254439,104.0,,0.0,,0.0
1,3,0.9135564350000001,13851.0,0.8981386923521685,2735.0,0.9732249544440124,1105.0,0.9511947627228821,919.0,0.9296412721893491,104.0,,0.0,,0.0
1,4,0.9169881850000001,13851.0,0.8941121423486593,2735.0,0.9750611166847526,1105.0,0.9527198153833766,919.0,0.9374999999999999,104.0,,0.0,,0.0
1,5,0.9117910499999999,13851.0,0.9048410308513447,2735.0,0.9753362953256485,1105.0,0.9512385724654585,919.0,0.9194711538461537,104.0,,0.0,,0.0
1,6,0.9127336149999998,13851.0,0.9021626354822215,2735.0,0.9738228128007208,1105.0,0.9586258423015033,919.0,0.9370377218934912,104.0,,0.0,,0.0
1,7,0.9142621949999999,13851.0,0.9038752176572229,2735.0,0.9719972973526342,1105.0,0.9636722510274568,919.0,0.9554363905325443,104.0,,0.0,,0.0
1,8,0.91044974,13851.0,0.9028537911626988,2735.0,0.9785155914088572,1105.0,0.9594854604936764,919.0,0.9418454142011834,104.0,,0.0,,0.0
1,9,0.91537843,13851.0,0.9019821596275513,2735.0,0.9746712802768166,1105.0,0.9563323430752781,919.0,0.9183616863905325,104.0,,0.0,,0.0
1,10,0.9110056449999999,13851.0,0.8998935860886539,2735.0,0.9731381421346819,1105.0,0.9554336513289152,919.0,0.959689349112426,104.0,,0.0,,0.0
1,11,0.9114770849999999,13851.0,0.9055946846518657,2735.0,0.9747548166499458,1105.0,0.9569610720836033,919.0,0.9095784023668639,104.0,,0.0,,0.0
1,12,0.9119604199999999,13851.0,0.9040927913264643,2735.0,0.9760226039597879,1105.0,0.951484854261563,919.0,0.9127218934911243,104.0,,0.0,,0.0
1,13,0.909589845,13851.0,0.9092934370289665,2735.0,0.9750562027804509,1105.0,0.9555804731689008,919.0,0.9306582840236687,104.0,,0.0,,0.0
1,14,0.914173905,13851.0,0.9042320919491058,2735.0,0.9745803730472348,1105.0,0.9534598448187875,919.0,0.921875,104.0,,0.0,,0.0
1,15,0.90751367,13851.0,0.9056305124511628,2735.0,0.9753756065600622,1105.0,0.9597873925033242,919.0,0.915310650887574,104.0,,0.0,,0.0
1,16,0.9110625099999999,13851.0,0.89980789347914,2735.0,0.9758268667717697,1105.0,0.956184337188196,919.0,0.9250184911242603,104.0,,0.0,,0.0
1,17,0.9126300099999999,13851.0,0.9034984910213263,2735.0,0.976094265064188,1105.0,0.9586945170331096,919.0,0.9449889053254438,104.0,,0.0,,0.0
1,18,0.9124155349999999,13851.0,0.8971619837638574,2735.0,0.9739841526586269,1105.0,0.9515132713918828,919.0,0.9359282544378698,104.0,,0.0,,0.0
1,19,0.9125373999999999,13851.0,0.9002929056278387,2735.0,0.9736246186605516,1105.0,0.9599827602742728,919.0,0.9097633136094674,104.0,,0.0,,0.0
1,20,0.9138363599999999,13851.0,0.9050208382769236,2735.0,0.9731606641960647,1105.0,0.9571457834306818,919.0,0.9265902366863905,104.0,,0.0,,0.0
1,21,0.910754375,13851.0,0.9037760896229726,2735.0,0.9754730656620463,1105.0,0.957221562444868,919.0,0.9307507396449705,104.0,,0.0,,0.0
1,22,0.910769395,13851.0,0.9048543325902629,2735.0,0.9770455150385946,1105.0,0.962565166992082,919.0,0.9308431952662721,104.0,,0.0,,0.0
1,23,0.9152066150000001,13851.0,0.903907903839791,2735.0,0.9745693167625562,1105.0,0.9533520965329917,919.0,0.9352810650887574,104.0,,0.0,,0.0
1,24,0.9106598549999999,13851.0,0.9046274677566516,2735.0,0.9756745357384166,1105.0,0.9604019129464894,919.0,0.9122596153846154,104.0,,0.0,,0.0
1,25,0.910102915,13851.0,0.903989853246393,2735.0,0.9736147908519481,1105.0,0.9575578318203185,919.0,0.923909023668639,104.0,,0.0,,0.0
1,26,0.91300257,13851.0,0.9028708361045288,2735.0,0.9748743883212874,1105.0,0.9617304137889389,919.0,0.8928439349112426,104.0,,0.0,,0.0
1,27,0.9128704700000001,13851.0,0.9032307183273232,2735.0,0.9712421940582707,1105.0,0.9539760893529301,919.0,0.940366124260355,104.0,,0.0,,0.0
1,28,0.91057896,13851.0,0.9013771644569514,2735.0,0.9772551749554678,1105.0,0.9588152898369685,919.0,0.9281619822485208,104.0,,0.0,,0.0
